
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.259"	"23.299"	"26.86"	"28.866"	"30.953"	"27.738"	"25.208"	"25.05"	"26.504"	"26.556"	"24.175"	"20.982"
"1992"	"21.025"	"22.08"	"26.932"	"29.285"	"31.151"	"29.109"	"26.894"	"25.08"	"25.965"	"25.878"	"24.013"	"21.228"
"1993"	"22.194"	"22.666"	"25.475"	"29.314"	"30.994"	"28.972"	"25.884"	"25.345"	"25.131"	"25.967"	"23.585"	"20.369"
"1994"	"21.67"	"22.563"	"27.638"	"28.069"	"30.539"	"27.062"	"24.943"	"25.026"	"25.034"	"26.178"	"23.058"	"20.449"
"1995"	"19.421"	"23.136"	"25.923"	"29.041"	"29.687"	"29.977"	"26.536"	"26.448"	"26.144"	"26.262"	"23.81"	"22.62"
"1996"	"23.139"	"24.426"	"28.144"	"29.539"	"30.783"	"29.006"	"26.254"	"25.155"	"25.597"	"25.06"	"22.819"	"21.553"
"1997"	"20.17"	"21.552"	"26.618"	"27.521"	"29.424"	"27.324"	"25.981"	"25.177"	"25.39"	"26.052"	"25.826"	"23.115"
"1998"	"22.066"	"22.713"	"26.432"	"30.3"	"31.972"	"29.287"	"26.357"	"26.17"	"25.797"	"26.151"	"23.873"	"20.719"
"1999"	"20.373"	"24.267"	"27.303"	"30.233"	"29.622"	"26.899"	"25.589"	"25.204"	"24.696"	"25.397"	"23.069"	"20.953"
"2000"	"21.915"	"22.499"	"25.578"	"30.623"	"29.405"	"27.202"	"25.202"	"25.921"	"25.991"	"26.97"	"23.946"	"21.043"
"2001"	"22.067"	"23.971"	"26.345"	"29.333"	"30.281"	"27.117"	"25.191"	"25.006"	"26.382"	"25.763"	"23.604"	"22.432"
"2002"	"20.54"	"24.536"	"26.956"	"30.536"	"30.888"	"27.557"	"26.292"	"24.646"	"25.485"	"26.803"	"23.698"	"22.222"
