
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"12.067"	"12.443"	"13.426"	"25.28"	"20.064"	"25.647"	"25.839"	"24.32"	"24.786"	"19.08"	"15.706"	"13.347"
"1992"	"12.135"	"11.408"	"13.434"	"25.283"	"20.053"	"27.146"	"27.073"	"24.32"	"24.567"	"19"	"15.685"	"13.36"
"1993"	"12.085"	"12.863"	"12.632"	"25.293"	"20.133"	"27.043"	"25.869"	"24.409"	"24.584"	"18.998"	"15.69"	"13.146"
"1994"	"12.343"	"12.353"	"14.292"	"24.227"	"20.088"	"25.228"	"25.826"	"24.32"	"24.584"	"19"	"15.715"	"12.489"
"1995"	"11.135"	"12.486"	"12.841"	"25.29"	"20.202"	"28.695"	"25.83"	"25.988"	"24.584"	"19.088"	"15.687"	"14.012"
"1996"	"12.959"	"13.116"	"14.448"	"25.289"	"20.26"	"27.048"	"25.839"	"24.32"	"24.584"	"19"	"15.693"	"13.244"
"1997"	"11.372"	"11.381"	"13.345"	"23.765"	"19.938"	"25.646"	"25.857"	"24.368"	"24.54"	"18.98"	"17.701"	"14.199"
"1998"	"12.096"	"12.622"	"13.46"	"25.862"	"21.431"	"27.399"	"26.283"	"25.707"	"24.567"	"19.109"	"15.706"	"13.262"
"1999"	"11.554"	"13.296"	"13.529"	"25.335"	"20.033"	"25.037"	"25.832"	"24.344"	"24.584"	"19.079"	"15.705"	"13.265"
"2000"	"12.39"	"11.765"	"12.618"	"26.609"	"19.977"	"25.073"	"25.835"	"24.898"	"24.57"	"20.164"	"16.212"	"13.404"
"2001"	"12.085"	"13.043"	"13.345"	"25.258"	"20.136"	"24.804"	"25.737"	"24.32"	"25.423"	"19.127"	"15.685"	"13.438"
"2002"	"12.092"	"13.144"	"13.974"	"26.693"	"20.175"	"25.423"	"25.876"	"24.32"	"24.584"	"20.078"	"15.685"	"13.506"
