
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"20.712"	"25.002"	"28.352"	"31.125"	"34.236"	"29.449"	"26.889"	"25.774"	"27.42"	"26.888"	"23.527"	"20.633"
"1992"	"22.12"	"23.201"	"29.142"	"31.498"	"33.631"	"32.276"	"28.213"	"25.601"	"25.876"	"26.281"	"22.966"	"20.498"
"1993"	"22.216"	"23.149"	"26.659"	"31.995"	"34.509"	"32.575"	"26.906"	"26.074"	"26.349"	"26.737"	"23.232"	"19.787"
"1994"	"21.606"	"23.452"	"28.806"	"30.174"	"34.282"	"28.942"	"25.472"	"25.143"	"26.022"	"26.891"	"23.057"	"20.491"
"1995"	"19.013"	"23.731"	"26.95"	"31.497"	"33.213"	"32.896"	"27.535"	"27.127"	"27.045"	"26.972"	"24.212"	"23.522"
"1996"	"23.596"	"25.089"	"29.872"	"32.466"	"34.193"	"30.572"	"28.029"	"26.332"	"26.503"	"25.489"	"22.666"	"20.682"
"1997"	"19.528"	"21.926"	"27.799"	"29.169"	"32.226"	"29.098"	"26.437"	"26.226"	"25.921"	"25.808"	"25.482"	"22.211"
"1998"	"21.65"	"23.284"	"27.788"	"32.817"	"35.285"	"32.73"	"27.737"	"27.138"	"26.475"	"27.136"	"23.72"	"20.358"
"1999"	"20.436"	"24.834"	"28.524"	"32.875"	"32.97"	"28.853"	"26.799"	"26.02"	"25.702"	"25.797"	"23.05"	"20.161"
"2000"	"21.819"	"23.077"	"27.281"	"33.48"	"32.498"	"29.378"	"26.075"	"27.275"	"27.349"	"28.003"	"24.857"	"21.531"
"2001"	"21.858"	"25.151"	"28.681"	"30.68"	"33.893"	"28.942"	"26.834"	"26.035"	"28.105"	"26.348"	"23.772"	"23.354"
"2002"	"21.399"	"25.734"	"28.584"	"32.61"	"34.031"	"29.616"	"27.475"	"24.703"	"25.674"	"26.732"	"23.374"	"22.303"
