
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.217"	"23.764"	"27.739"	"29.807"	"32.306"	"28.784"	"25.75"	"25.47"	"26.898"	"27.066"	"24.203"	"21.2"
"1992"	"21.425"	"22.689"	"27.933"	"30.561"	"32.485"	"30.321"	"27.569"	"25.481"	"26.047"	"26.245"	"23.91"	"21.45"
"1993"	"22.567"	"23.373"	"26.305"	"30.504"	"32.424"	"30.08"	"26.375"	"25.826"	"25.576"	"26.436"	"23.637"	"20.561"
"1994"	"21.989"	"23.047"	"28.312"	"29.042"	"32.003"	"27.907"	"25.352"	"25.259"	"25.227"	"26.587"	"23.041"	"20.702"
"1995"	"19.538"	"23.577"	"26.568"	"29.989"	"31.074"	"31.076"	"27.112"	"26.827"	"26.787"	"26.903"	"24.128"	"22.977"
"1996"	"23.607"	"25.158"	"29.24"	"30.742"	"32.176"	"30.099"	"26.893"	"25.598"	"26.058"	"25.493"	"23.029"	"21.6"
"1997"	"20.243"	"22.035"	"27.456"	"28.472"	"30.548"	"27.963"	"26.235"	"25.678"	"25.71"	"26.195"	"25.788"	"22.819"
"1998"	"21.992"	"23.124"	"27.186"	"31.426"	"33.259"	"30.473"	"26.836"	"26.664"	"26.166"	"26.749"	"23.951"	"20.924"
"1999"	"20.65"	"24.732"	"28.108"	"31.423"	"31.063"	"27.727"	"26.117"	"25.626"	"25.222"	"25.744"	"23.082"	"20.877"
"2000"	"22.051"	"22.808"	"26.557"	"31.91"	"30.55"	"28.111"	"25.576"	"26.542"	"26.477"	"27.482"	"24.407"	"21.414"
"2001"	"22.076"	"24.623"	"27.469"	"30.13"	"31.527"	"27.753"	"25.677"	"25.456"	"27.019"	"26.169"	"23.698"	"22.821"
"2002"	"20.903"	"25.039"	"27.835"	"31.495"	"32.116"	"28.36"	"26.777"	"24.793"	"25.611"	"26.989"	"23.748"	"22.487"
