
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"11.022"	"11.188"	"11.575"	"20.35"	"18.282"	"23.826"	"26.119"	"24.429"	"24.768"	"15.982"	"14.109"	"11.853"
"1992"	"11.189"	"10.163"	"11.64"	"20.397"	"18.3"	"25.445"	"27.756"	"24.427"	"24.34"	"15.603"	"14.096"	"11.824"
"1993"	"11.122"	"11.464"	"10.662"	"20.423"	"18.682"	"25.376"	"26.119"	"24.429"	"24.342"	"15.677"	"14.096"	"11.546"
"1994"	"11.305"	"10.98"	"12.272"	"19.372"	"18.603"	"23.199"	"26.119"	"24.427"	"24.349"	"15.588"	"14.116"	"11.215"
"1995"	"10.039"	"11.081"	"10.832"	"20.395"	"18.279"	"26.947"	"26.119"	"26.127"	"24.349"	"15.855"	"14.108"	"12.393"
"1996"	"12.343"	"11.729"	"12.45"	"20.369"	"18.45"	"25.364"	"26.14"	"24.422"	"24.349"	"15.588"	"14.108"	"11.836"
"1997"	"10.298"	"10.146"	"11.433"	"18.834"	"17.871"	"23.609"	"26.119"	"24.627"	"24.344"	"15.547"	"16.087"	"12.437"
"1998"	"11.119"	"11.232"	"11.688"	"20.614"	"19.582"	"25.909"	"26.761"	"26.127"	"24.34"	"15.922"	"14.111"	"11.836"
"1999"	"10.704"	"11.856"	"11.726"	"20.767"	"18.279"	"23.001"	"26.119"	"24.483"	"24.34"	"15.6"	"14.096"	"11.883"
"2000"	"11.501"	"10.378"	"10.839"	"21.587"	"17.948"	"23.305"	"26.119"	"25.459"	"24.314"	"16.646"	"14.86"	"12.057"
"2001"	"11.047"	"11.765"	"11.433"	"20.348"	"18.342"	"22.63"	"26.102"	"24.422"	"25.822"	"15.75"	"14.096"	"12.102"
"2002"	"11.042"	"11.702"	"11.937"	"21.631"	"18.403"	"23.852"	"26.119"	"24.422"	"24.349"	"16.27"	"14.096"	"12.197"
