
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"20.937"	"25.575"	"29.267"	"31.896"	"36.679"	"31.272"	"28.151"	"26.731"	"28.653"	"26.664"	"22.842"	"20.48"
"1992"	"21.306"	"23.93"	"30.116"	"33.353"	"35.615"	"33.543"	"30.003"	"26.811"	"27.802"	"26.873"	"23.167"	"20.087"
"1993"	"22.233"	"23.786"	"27.274"	"32.677"	"36.595"	"32.807"	"28.497"	"27.331"	"27.501"	"26.543"	"22.326"	"19.16"
"1994"	"22.187"	"23.364"	"29.295"	"31.27"	"36.321"	"30.531"	"26.605"	"26.44"	"27.291"	"26.434"	"22.866"	"20.06"
"1995"	"18.937"	"23.778"	"27.481"	"31.345"	"33.236"	"34.306"	"28.095"	"28.008"	"28.108"	"26.776"	"23.287"	"22.141"
"1996"	"23.173"	"25.208"	"29.558"	"31.685"	"36.354"	"34.308"	"28.559"	"27.217"	"28.183"	"26.094"	"23.289"	"20.06"
"1997"	"19.85"	"23.082"	"28.943"	"30.197"	"34.609"	"32.178"	"28.283"	"27.803"	"27.782"	"26.329"	"24.991"	"20.512"
"1998"	"21.816"	"23.468"	"26.501"	"31.884"	"35.424"	"33.254"	"28.862"	"28.157"	"27.988"	"27.509"	"23.339"	"19.511"
"1999"	"19.647"	"24.988"	"29.004"	"34.068"	"34.764"	"31.018"	"27.849"	"27.086"	"26.817"	"26.736"	"23.323"	"20.01"
"2000"	"21.895"	"23.35"	"27.704"	"33.977"	"34.19"	"29.66"	"27.397"	"27.777"	"27.396"	"27.529"	"24.196"	"20.665"
"2001"	"21.67"	"25.65"	"29.076"	"31.432"	"35.805"	"29.939"	"27.612"	"27.164"	"28.85"	"26.907"	"24.613"	"21.18"
"2002"	"21.21"	"24.991"	"29.177"	"33.571"	"36.556"	"31.534"	"28.998"	"26.597"	"27.782"	"27.192"	"23.755"	"22.875"
