
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"22.674"	"25.066"	"28.989"	"30.674"	"32.842"	"28.416"	"25.909"	"25.994"	"27.504"	"27.469"	"24.561"	"21.891"
"1992"	"21.992"	"23.817"	"29.03"	"31.453"	"33.165"	"30.119"	"27.832"	"25.824"	"26.549"	"26.729"	"24.487"	"21.751"
"1993"	"23.525"	"24.154"	"27.31"	"31.474"	"33.022"	"30.286"	"26.793"	"26.037"	"25.956"	"26.534"	"24.086"	"20.77"
"1994"	"22.756"	"24.406"	"29.616"	"29.79"	"32.564"	"28.086"	"25.805"	"25.736"	"25.987"	"26.72"	"23.3"	"21.084"
"1995"	"20.384"	"24.64"	"27.769"	"30.844"	"31.055"	"31.022"	"27.291"	"27.492"	"27.031"	"26.798"	"24.704"	"23.656"
"1996"	"24.655"	"26.13"	"30.06"	"31.347"	"32.905"	"30.143"	"27.233"	"26.027"	"26.361"	"25.726"	"23.502"	"22.188"
"1997"	"21.106"	"23.113"	"28.274"	"29.148"	"31.25"	"28.535"	"26.764"	"26.09"	"26.061"	"26.531"	"26.183"	"23.938"
"1998"	"23.424"	"24.545"	"28.508"	"32.271"	"33.723"	"30.671"	"27.462"	"26.898"	"26.411"	"26.699"	"24.354"	"21.2"
"1999"	"21.464"	"25.693"	"29.116"	"32.182"	"31.217"	"27.731"	"26.45"	"25.97"	"25.395"	"26.029"	"23.722"	"21.596"
"2000"	"23.038"	"24.323"	"27.578"	"32.509"	"31.18"	"27.884"	"25.99"	"26.635"	"26.735"	"27.672"	"24.596"	"21.764"
"2001"	"23.211"	"25.671"	"28.571"	"30.951"	"32.429"	"28.083"	"26.432"	"25.813"	"27.294"	"26.359"	"24.361"	"23.276"
"2002"	"22.111"	"26.181"	"28.978"	"32.449"	"32.587"	"28.465"	"27.189"	"25.292"	"26.125"	"27.166"	"23.931"	"22.816"
