
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"11.183"	"11.139"	"11.52"	"19.005"	"17.788"	"23.802"	"25.539"	"23.828"	"24.509"	"17.922"	"13.647"	"11.705"
"1992"	"11.2"	"9.957"	"11.468"	"19.015"	"17.916"	"25.404"	"27.038"	"23.851"	"23.754"	"17.532"	"13.626"	"11.575"
"1993"	"11.172"	"11.207"	"10.668"	"19.007"	"18.19"	"25.365"	"25.488"	"23.888"	"23.754"	"17.532"	"13.642"	"11.31"
"1994"	"11.224"	"10.848"	"12.187"	"18.123"	"17.878"	"23.472"	"25.486"	"23.827"	"23.771"	"17.532"	"13.677"	"11.085"
"1995"	"9.897"	"10.878"	"10.848"	"19.038"	"17.247"	"26.894"	"25.486"	"25.471"	"23.723"	"17.532"	"13.777"	"12.584"
"1996"	"12.539"	"11.488"	"12.208"	"19.038"	"18.253"	"25.404"	"25.486"	"23.828"	"23.754"	"17.531"	"13.625"	"11.703"
"1997"	"10.417"	"9.932"	"11.237"	"17.151"	"17.26"	"24.321"	"25.548"	"24.264"	"23.739"	"17.532"	"15.496"	"12.689"
"1998"	"11.367"	"11.278"	"11.64"	"19.589"	"18.697"	"26.226"	"26.562"	"25.278"	"23.746"	"17.532"	"13.696"	"11.703"
"1999"	"10.569"	"11.679"	"11.682"	"19.145"	"17.422"	"22.973"	"25.486"	"23.906"	"23.723"	"17.532"	"13.642"	"11.703"
"2000"	"11.297"	"10.348"	"10.523"	"20.203"	"17.289"	"22.952"	"25.486"	"24.714"	"23.746"	"18.537"	"14.274"	"11.708"
"2001"	"11.161"	"11.595"	"11.237"	"18.981"	"17.94"	"23.234"	"25.486"	"23.851"	"25.062"	"17.539"	"13.642"	"12.218"
"2002"	"11.161"	"11.5"	"11.927"	"20.337"	"17.96"	"23.832"	"25.541"	"23.828"	"23.754"	"18.048"	"13.625"	"11.965"
