
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.064"	"24.724"	"28.448"	"30.817"	"33.634"	"29.155"	"26.385"	"25.579"	"27.122"	"27.018"	"23.832"	"21.013"
"1992"	"21.998"	"23.187"	"28.983"	"31.372"	"33.368"	"31.536"	"27.979"	"25.521"	"25.84"	"26.344"	"23.346"	"20.977"
"1993"	"22.573"	"23.441"	"26.792"	"31.634"	"33.881"	"31.618"	"26.645"	"25.887"	"25.988"	"26.695"	"23.459"	"20.187"
"1994"	"21.924"	"23.489"	"28.898"	"29.962"	"33.559"	"28.518"	"25.363"	"25.096"	"25.612"	"26.819"	"23.086"	"20.728"
"1995"	"19.326"	"23.854"	"27.116"	"31.098"	"32.501"	"32.201"	"27.333"	"26.973"	"26.879"	"27.006"	"24.283"	"23.497"
"1996"	"23.822"	"25.366"	"29.938"	"32.045"	"33.557"	"30.407"	"27.588"	"25.967"	"26.251"	"25.531"	"22.878"	"21.152"
"1997"	"19.915"	"22.155"	"27.952"	"29.078"	"31.708"	"28.626"	"26.276"	"25.943"	"25.719"	"25.988"	"25.65"	"22.56"
"1998"	"21.922"	"23.408"	"27.859"	"32.544"	"34.654"	"31.862"	"27.376"	"26.889"	"26.246"	"27.047"	"23.887"	"20.692"
"1999"	"20.649"	"24.966"	"28.648"	"32.559"	"32.367"	"28.404"	"26.494"	"25.788"	"25.44"	"25.833"	"23.08"	"20.546"
"2000"	"22.047"	"23.17"	"27.289"	"33.126"	"31.893"	"28.865"	"25.802"	"26.944"	"26.951"	"27.869"	"24.757"	"21.619"
"2001"	"22.073"	"25.154"	"28.614"	"30.671"	"33.13"	"28.438"	"26.35"	"25.748"	"27.654"	"26.343"	"23.797"	"23.295"
"2002"	"21.448"	"25.683"	"28.571"	"32.391"	"33.423"	"29.115"	"27.121"	"24.624"	"25.503"	"26.852"	"23.567"	"22.491"
