
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"10.716"	"10.715"	"10.495"	"15.426"	"16.174"	"21.116"	"27.113"	"25.29"	"25.185"	"16.138"	"13.266"	"11.447"
"1992"	"10.914"	"9.831"	"10.651"	"15.434"	"16.403"	"22.41"	"28.892"	"25.28"	"24.802"	"15.297"	"13.266"	"11.103"
"1993"	"11.107"	"10.614"	"9.554"	"15.434"	"17.167"	"22.476"	"27.113"	"25.29"	"24.802"	"15.461"	"13.266"	"10.833"
"1994"	"11.077"	"10.304"	"10.87"	"14.63"	"17.112"	"19.934"	"26.982"	"25.28"	"24.802"	"15.297"	"13.266"	"10.933"
"1995"	"9.894"	"10.352"	"9.681"	"15.397"	"16.045"	"23.836"	"27.113"	"26.892"	"24.802"	"15.963"	"13.417"	"12.039"
"1996"	"12.467"	"11.028"	"11.111"	"15.434"	"16.65"	"22.648"	"27.45"	"25.28"	"24.802"	"15.316"	"13.266"	"11.379"
"1997"	"10.213"	"9.541"	"10.263"	"13.674"	"15.412"	"20.619"	"27.113"	"25.65"	"24.801"	"15.379"	"15.162"	"11.702"
"1998"	"11.059"	"10.656"	"10.322"	"16.284"	"17.301"	"23.451"	"28.008"	"27.003"	"24.802"	"15.671"	"13.266"	"11.389"
"1999"	"10.753"	"10.978"	"10.602"	"16.167"	"16.102"	"19.824"	"27.113"	"25.29"	"24.802"	"15.297"	"13.266"	"11.387"
"2000"	"11.08"	"9.692"	"9.754"	"16.434"	"15.459"	"20.155"	"27.113"	"26.687"	"24.802"	"16.367"	"14.18"	"11.485"
"2001"	"11.01"	"11.041"	"10.263"	"15.433"	"16.426"	"19.58"	"27.113"	"25.239"	"26.453"	"15.497"	"13.266"	"11.883"
"2002"	"11.009"	"10.874"	"10.835"	"16.146"	"16.523"	"21.074"	"27.113"	"25.28"	"24.802"	"15.594"	"13.266"	"11.796"
