
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.994"	"26.194"	"29.692"	"32.212"	"36.055"	"30.586"	"27.747"	"26.782"	"28.399"	"26.51"	"23.057"	"21.053"
"1992"	"21.767"	"24.419"	"30.204"	"33.028"	"35.571"	"33.106"	"29.635"	"26.551"	"27.781"	"26.477"	"23.457"	"20.08"
"1993"	"22.643"	"24.495"	"28.537"	"32.815"	"36.034"	"32.67"	"28.303"	"27.271"	"27.431"	"26.674"	"22.73"	"19.458"
"1994"	"22.648"	"24.469"	"29.781"	"31.716"	"36.1"	"30.122"	"26.541"	"26.266"	"27.222"	"26.585"	"22.94"	"20.448"
"1995"	"19.712"	"24.36"	"28.33"	"31.856"	"33.03"	"33.669"	"27.981"	"28.052"	"28.03"	"26.535"	"23.559"	"22.588"
"1996"	"23.999"	"25.78"	"29.896"	"31.96"	"36.325"	"33.34"	"28.438"	"27.188"	"27.986"	"26.002"	"23.616"	"20.634"
"1997"	"20.963"	"24.098"	"29.34"	"30.448"	"34.448"	"32.051"	"28.24"	"27.661"	"27.722"	"26.55"	"25.365"	"21.894"
"1998"	"23.132"	"24.93"	"28.016"	"32.636"	"35.508"	"33.11"	"28.861"	"27.887"	"27.855"	"27.328"	"23.822"	"20.201"
"1999"	"20.839"	"25.867"	"29.701"	"34.125"	"34.274"	"30.61"	"27.76"	"26.92"	"26.805"	"26.726"	"23.69"	"20.81"
"2000"	"22.914"	"24.617"	"28.458"	"34.078"	"33.862"	"29.422"	"27.24"	"27.463"	"27.368"	"27.596"	"24.453"	"21.282"
"2001"	"22.673"	"26.464"	"29.641"	"31.808"	"35.664"	"29.854"	"27.737"	"26.928"	"28.65"	"26.789"	"24.909"	"21.823"
"2002"	"22.218"	"25.82"	"29.852"	"33.8"	"36.037"	"31.153"	"28.867"	"26.412"	"27.694"	"27.145"	"23.812"	"23.031"
