
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"15.015"	"15.022"	"14.287"	"15.784"	"18.186"	"15.984"	"30.933"	"29.409"	"28.893"	"21.045"	"16.667"	"14.584"
"1992"	"14.214"	"14.112"	"14.131"	"15.729"	"18.15"	"16.762"	"33.233"	"29.489"	"28.62"	"21.066"	"17.365"	"13.848"
"1993"	"15.03"	"14.04"	"13.132"	"15.841"	"18.236"	"16.967"	"30.933"	"29.563"	"28.62"	"21.087"	"16.667"	"13.741"
"1994"	"15.414"	"14.101"	"14.559"	"15.389"	"18.038"	"14.95"	"29.322"	"29.405"	"28.62"	"21.093"	"16.667"	"14.675"
"1995"	"12.937"	"14.134"	"13.047"	"15.683"	"16.035"	"18.506"	"30.933"	"30.223"	"28.62"	"21.066"	"16.67"	"15.505"
"1996"	"16.469"	"14.533"	"14.517"	"15.738"	"19.318"	"17.607"	"30.972"	"29.456"	"28.62"	"21.087"	"16.667"	"14.65"
"1997"	"13.854"	"13.694"	"13.703"	"13.781"	"16.554"	"17.341"	"31.096"	"29.733"	"28.722"	"21.087"	"18.153"	"15.696"
"1998"	"15.515"	"14.125"	"13.27"	"15.876"	"17.887"	"17.386"	"31.799"	"31.148"	"28.62"	"21.757"	"17.145"	"14.478"
"1999"	"14.152"	"14.196"	"14.434"	"16.785"	"17.013"	"15.362"	"30.933"	"29.464"	"28.62"	"21.041"	"16.676"	"14.654"
"2000"	"15.513"	"13.973"	"13.662"	"16.775"	"16.543"	"14.756"	"30.933"	"29.971"	"28.62"	"22.389"	"17.584"	"14.654"
"2001"	"14.751"	"14.83"	"13.731"	"15.658"	"18.128"	"14.482"	"30.933"	"29.426"	"30.451"	"21.066"	"17.58"	"15.175"
"2002"	"14.751"	"14.121"	"14.564"	"16.858"	"18.254"	"16.062"	"32.55"	"29.493"	"28.62"	"21.028"	"16.667"	"15.786"
