
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"19.567"	"22.187"	"25.983"	"28.865"	"31.406"	"29.207"	"25.948"	"25.287"	"25.949"	"26.118"	"23.504"	"20.474"
"1992"	"20.528"	"20.905"	"26.135"	"28.88"	"30.792"	"30.189"	"27.486"	"25.421"	"25.549"	"25.723"	"23.233"	"21.108"
"1993"	"21.103"	"22.207"	"25.276"	"28.672"	"31.319"	"29.602"	"26.223"	"25.86"	"25.495"	"26.331"	"23.574"	"20.872"
"1994"	"21.337"	"21.189"	"26.275"	"28.461"	"31.302"	"27.929"	"25.276"	"24.972"	"24.729"	"26.022"	"23.025"	"20.307"
"1995"	"18.792"	"21.948"	"25.363"	"29.181"	"30.95"	"31.115"	"26.816"	"26.286"	"26.558"	"26.83"	"23.2"	"21.658"
"1996"	"21.575"	"23.211"	"27.64"	"29.334"	"31.023"	"29.886"	"26.769"	"25.328"	"25.992"	"25.391"	"23.033"	"21.082"
"1997"	"19.86"	"21.136"	"26.447"	"27.821"	"29.776"	"28.001"	"26.216"	"25.375"	"25.918"	"26.025"	"25.424"	"21.647"
"1998"	"20.735"	"21.876"	"25.791"	"30.279"	"32.302"	"30.049"	"26.373"	"26.404"	"26.254"	"26.918"	"23.791"	"21.038"
"1999"	"20.027"	"23.208"	"26.82"	"30.291"	"30.664"	"27.968"	"26.09"	"25.453"	"25.625"	"25.642"	"22.746"	"20.5"
"2000"	"21.099"	"20.948"	"25.361"	"30.906"	"29.475"	"28.24"	"25.283"	"26.237"	"26.099"	"27.07"	"24.328"	"21.358"
"2001"	"20.659"	"23.105"	"25.849"	"29.221"	"30.2"	"27.176"	"24.895"	"25.229"	"26.687"	"26.09"	"23.429"	"21.715"
"2002"	"19.4"	"22.668"	"26.396"	"30.221"	"31.337"	"28.338"	"26.62"	"24.695"	"25.558"	"26.831"	"23.865"	"22.347"
