
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"10.786"	"11.239"	"11.973"	"18.522"	"19.932"	"25.504"	"26.818"	"25.005"	"24.662"	"11.218"	"14.148"	"12.04"
"1992"	"10.949"	"10.377"	"12.041"	"18.537"	"19.917"	"26.692"	"28.609"	"24.999"	"24.602"	"11.256"	"14.145"	"12.096"
"1993"	"10.936"	"11.698"	"11.475"	"18.533"	"20.152"	"26.628"	"26.818"	"25.078"	"24.609"	"11.363"	"14.149"	"11.835"
"1994"	"11.368"	"11.167"	"12.296"	"18.352"	"20.002"	"24.245"	"26.814"	"24.999"	"24.616"	"11.204"	"14.179"	"11.806"
"1995"	"10.122"	"11.301"	"11.275"	"18.526"	"19.965"	"28.345"	"26.818"	"26.698"	"24.695"	"11.778"	"14.148"	"12.26"
"1996"	"11.876"	"11.972"	"13.292"	"18.531"	"19.985"	"26.644"	"26.982"	"24.999"	"24.669"	"11.203"	"14.154"	"11.941"
"1997"	"10.36"	"10.463"	"11.968"	"17.329"	"19.626"	"24.529"	"26.818"	"25.005"	"24.661"	"10.703"	"16.205"	"12.156"
"1998"	"10.857"	"11.242"	"12.017"	"19.658"	"21.325"	"26.788"	"26.979"	"26.62"	"24.621"	"11.952"	"14.145"	"11.969"
"1999"	"10.737"	"11.979"	"12.036"	"19.257"	"19.983"	"24.399"	"26.818"	"25.005"	"24.61"	"11.191"	"14.147"	"11.959"
"2000"	"11.527"	"10.463"	"11.792"	"19.658"	"19.184"	"24.923"	"26.818"	"26.392"	"24.611"	"12.079"	"15.07"	"12.541"
"2001"	"10.857"	"11.841"	"11.969"	"18.537"	"19.95"	"23.402"	"26.048"	"24.999"	"26.266"	"11.533"	"14.209"	"12.067"
"2002"	"10.857"	"11.91"	"12.252"	"19.755"	"19.995"	"25.038"	"26.905"	"24.999"	"24.673"	"11.966"	"14.172"	"12.566"
