
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"22.6"	"26.764"	"30.006"	"32.578"	"36.176"	"31.157"	"28.283"	"27.476"	"28.992"	"26.815"	"23.405"	"21.447"
"1992"	"21.882"	"24.686"	"30.266"	"32.995"	"35.744"	"33.369"	"29.766"	"27.172"	"28.372"	"26.979"	"24.355"	"20.355"
"1993"	"22.937"	"24.714"	"29.255"	"33.017"	"36.288"	"32.935"	"28.86"	"27.977"	"28.117"	"27.314"	"23.601"	"20.074"
"1994"	"23.278"	"25.153"	"30.319"	"32.261"	"36.232"	"30.827"	"27.27"	"26.926"	"27.852"	"27.26"	"23.643"	"20.943"
"1995"	"20.588"	"24.821"	"28.711"	"32.351"	"32.936"	"34.026"	"28.51"	"28.686"	"28.725"	"26.9"	"24.129"	"22.904"
"1996"	"24.455"	"25.769"	"30.021"	"32.044"	"36.488"	"33.669"	"28.816"	"27.72"	"28.591"	"26.662"	"24.308"	"21.155"
"1997"	"21.425"	"24.478"	"29.528"	"30.729"	"34.506"	"32.806"	"28.808"	"28.336"	"28.243"	"27.057"	"26.043"	"22.976"
"1998"	"23.796"	"25.595"	"28.77"	"32.913"	"35.658"	"33.539"	"29.302"	"28.423"	"28.479"	"27.901"	"24.61"	"20.593"
"1999"	"21.128"	"26.315"	"29.911"	"34.391"	"34.236"	"31.128"	"28.219"	"27.45"	"27.372"	"27.321"	"23.934"	"21.251"
"2000"	"23.674"	"25.211"	"28.746"	"34.126"	"34.193"	"30.087"	"27.841"	"27.905"	"28.061"	"28.058"	"24.84"	"21.496"
"2001"	"22.99"	"26.623"	"29.907"	"31.952"	"35.622"	"30.28"	"28.124"	"27.47"	"29.056"	"27.318"	"25.483"	"22.039"
"2002"	"22.699"	"26.082"	"30.053"	"33.738"	"36.182"	"31.563"	"29.281"	"26.995"	"28.19"	"27.628"	"24.135"	"23.202"
