
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"15.97"	"16.58"	"16.32"	"18.086"	"20.963"	"21.339"	"30.534"	"29.548"	"29.479"	"22.832"	"17.687"	"15.426"
"1992"	"14.745"	"15.607"	"15.993"	"18.021"	"20.761"	"21.709"	"32.774"	"29.574"	"29.179"	"22.832"	"18.736"	"14.72"
"1993"	"15.696"	"15.304"	"15.127"	"18.064"	"20.6"	"21.969"	"30.486"	"29.9"	"29.188"	"22.918"	"17.76"	"14.584"
"1994"	"15.994"	"15.583"	"16.48"	"17.915"	"20.551"	"20.552"	"29.141"	"29.562"	"29.216"	"22.837"	"17.767"	"15.504"
"1995"	"13.857"	"15.618"	"15.039"	"17.997"	"18.467"	"24.023"	"30.481"	"30.832"	"29.188"	"22.835"	"17.854"	"16.011"
"1996"	"17.149"	"15.688"	"16.431"	"18.022"	"21.765"	"22.906"	"30.532"	"29.578"	"29.197"	"22.837"	"17.767"	"15.553"
"1997"	"14.58"	"15.191"	"15.646"	"16.063"	"19.514"	"22.797"	"31.373"	"29.799"	"29.227"	"22.837"	"19.613"	"16.828"
"1998"	"16.527"	"15.56"	"15.036"	"18.114"	"20.49"	"22.842"	"31.52"	"31.155"	"29.216"	"23.714"	"18.574"	"15.168"
"1999"	"14.681"	"15.593"	"16.549"	"19.157"	"19.804"	"20.909"	"30.479"	"29.575"	"29.188"	"22.837"	"17.782"	"15.508"
"2000"	"16.349"	"15.556"	"15.635"	"19.093"	"19.463"	"19.975"	"30.53"	"29.682"	"29.188"	"24.181"	"18.429"	"15.504"
"2001"	"15.498"	"16.222"	"15.646"	"17.988"	"20.688"	"19.876"	"30.53"	"29.576"	"31.097"	"22.835"	"18.802"	"15.801"
"2002"	"15.538"	"15.585"	"16.549"	"18.998"	"21.081"	"21.324"	"32.346"	"29.579"	"29.239"	"22.817"	"17.745"	"16.733"
