
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"20.887"	"25.796"	"29.356"	"32.046"	"36.734"	"31.272"	"28.224"	"26.896"	"28.806"	"26.499"	"22.575"	"20.437"
"1992"	"21.188"	"23.865"	"30.099"	"33.206"	"35.524"	"33.487"	"29.66"	"26.967"	"27.845"	"26.979"	"23.345"	"19.973"
"1993"	"22.127"	"23.79"	"27.518"	"32.768"	"36.709"	"32.644"	"28.506"	"27.503"	"27.646"	"26.736"	"22.546"	"19.305"
"1994"	"22.327"	"23.577"	"29.669"	"31.447"	"36.306"	"30.605"	"26.752"	"26.575"	"27.42"	"26.643"	"22.96"	"20.199"
"1995"	"19.193"	"23.867"	"27.534"	"31.593"	"33.133"	"34.215"	"28.15"	"28.09"	"28.252"	"26.786"	"23.307"	"22.187"
"1996"	"23.227"	"24.958"	"29.638"	"31.776"	"36.37"	"33.962"	"28.5"	"27.258"	"28.225"	"26.156"	"23.239"	"20.071"
"1997"	"19.864"	"23.075"	"28.969"	"30.245"	"34.553"	"32.225"	"28.232"	"27.708"	"27.807"	"26.424"	"24.934"	"20.848"
"1998"	"21.855"	"23.613"	"26.798"	"31.939"	"35.326"	"33.187"	"28.726"	"28.164"	"28.107"	"27.624"	"23.382"	"19.53"
"1999"	"19.571"	"25.036"	"29.065"	"34.108"	"34.708"	"30.974"	"27.799"	"26.99"	"26.92"	"26.831"	"23.161"	"20.055"
"2000"	"21.95"	"23.47"	"27.814"	"33.969"	"34.253"	"29.712"	"27.463"	"27.819"	"27.451"	"27.587"	"24.087"	"20.47"
"2001"	"21.58"	"25.494"	"29.204"	"31.426"	"35.671"	"29.812"	"27.501"	"27.169"	"28.814"	"26.993"	"24.576"	"21.136"
"2002"	"21.193"	"25.003"	"29.27"	"33.469"	"36.545"	"31.486"	"28.961"	"26.663"	"27.812"	"27.207"	"23.586"	"22.706"
