
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"22.56"	"26.13"	"29.716"	"31.86"	"34.374"	"29.183"	"26.884"	"26.265"	"27.934"	"27.541"	"24.359"	"21.857"
"1992"	"22.936"	"24.716"	"30.197"	"32.319"	"34.085"	"31.629"	"28.397"	"25.989"	"26.443"	"26.86"	"24.185"	"21.505"
"1993"	"23.544"	"24.422"	"28.048"	"32.621"	"34.567"	"32.102"	"27.276"	"26.432"	"26.558"	"27.055"	"24.072"	"20.679"
"1994"	"22.869"	"25.048"	"30.209"	"30.815"	"34.24"	"29.017"	"26.008"	"25.769"	"26.454"	"27.2"	"23.574"	"21.26"
"1995"	"20.428"	"25.141"	"28.269"	"31.927"	"32.799"	"32.287"	"27.764"	"27.684"	"27.306"	"27.101"	"25.084"	"24.322"
"1996"	"24.957"	"26.396"	"30.772"	"32.658"	"34.396"	"30.569"	"28.083"	"26.572"	"26.785"	"25.961"	"23.498"	"21.984"
"1997"	"20.929"	"23.381"	"28.809"	"29.74"	"32.528"	"29.356"	"27.04"	"26.604"	"26.278"	"26.425"	"26.261"	"23.836"
"1998"	"23.434"	"24.908"	"29.147"	"33.427"	"35.264"	"32.334"	"28.195"	"27.399"	"26.717"	"27.223"	"24.516"	"21.224"
"1999"	"21.669"	"26.115"	"29.642"	"33.327"	"32.636"	"28.679"	"27.022"	"26.359"	"25.886"	"26.29"	"23.946"	"21.457"
"2000"	"23.169"	"24.78"	"28.283"	"33.796"	"32.568"	"28.892"	"26.475"	"27.367"	"27.448"	"28.269"	"25.275"	"22.24"
"2001"	"23.296"	"26.338"	"29.792"	"31.445"	"34.17"	"28.952"	"27.344"	"26.331"	"28.222"	"26.656"	"24.645"	"24.069"
"2002"	"22.834"	"26.945"	"29.688"	"33.331"	"34.047"	"29.452"	"27.776"	"25.295"	"26.2"	"27.186"	"23.961"	"23.066"
