
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"11.835"	"11.73"	"11.561"	"15.573"	"17.1"	"20.724"	"27.21"	"25.54"	"26.174"	"18.107"	"13.845"	"11.991"
"1992"	"11.709"	"10.744"	"11.483"	"15.573"	"17.601"	"22.525"	"28.912"	"25.54"	"25.202"	"17.392"	"13.992"	"11.503"
"1993"	"11.924"	"11.462"	"10.516"	"15.619"	"17.816"	"22.575"	"27.21"	"25.54"	"25.202"	"17.301"	"13.845"	"11.35"
"1994"	"11.924"	"11.157"	"12.01"	"14.921"	"17.598"	"20.266"	"27.027"	"25.54"	"25.257"	"17.419"	"13.922"	"11.542"
"1995"	"10.427"	"11.182"	"10.616"	"15.651"	"16.137"	"23.911"	"27.21"	"27.21"	"25.202"	"17.301"	"14.4"	"12.822"
"1996"	"13.484"	"11.829"	"11.983"	"15.605"	"17.974"	"22.721"	"27.21"	"25.54"	"25.202"	"17.301"	"13.845"	"11.923"
"1997"	"11.129"	"10.431"	"11.182"	"13.742"	"16.102"	"21.492"	"27.21"	"26.267"	"25.202"	"17.413"	"15.61"	"12.81"
"1998"	"12.185"	"11.584"	"11.474"	"16.501"	"17.816"	"23.854"	"28.712"	"27.251"	"25.202"	"17.301"	"13.873"	"11.923"
"1999"	"11.37"	"11.737"	"11.688"	"16.183"	"16.616"	"19.881"	"27.21"	"25.54"	"25.202"	"17.301"	"13.845"	"11.991"
"2000"	"12.052"	"10.689"	"10.657"	"16.578"	"16.107"	"19.923"	"27.21"	"27.132"	"25.202"	"18.318"	"14.719"	"11.991"
"2001"	"11.878"	"11.885"	"11.182"	"15.573"	"17.321"	"20.097"	"27.21"	"25.54"	"26.803"	"17.444"	"13.845"	"12.698"
"2002"	"11.878"	"11.584"	"11.89"	"16.706"	"17.516"	"21.174"	"27.21"	"25.54"	"25.202"	"17.322"	"13.845"	"12.517"
