
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"20.573"	"23.631"	"27.647"	"30.369"	"33.295"	"30.055"	"26.627"	"25.96"	"26.975"	"26.951"	"23.982"	"21.051"
"1992"	"21.354"	"22.194"	"27.861"	"31.009"	"33.002"	"31.616"	"28.372"	"26.02"	"26.175"	"26.388"	"23.577"	"21.296"
"1993"	"22.238"	"23.104"	"26.384"	"30.709"	"33.392"	"31.194"	"26.952"	"26.354"	"26.214"	"26.864"	"23.795"	"20.764"
"1994"	"21.965"	"22.478"	"27.877"	"29.772"	"33.213"	"28.896"	"25.917"	"25.518"	"25.531"	"26.688"	"23.186"	"20.718"
"1995"	"19.267"	"23.135"	"26.606"	"30.626"	"32.381"	"32.413"	"27.688"	"27.063"	"27.314"	"27.349"	"24.016"	"22.733"
"1996"	"23.087"	"24.723"	"29.266"	"31.224"	"33.032"	"31.155"	"27.778"	"26.039"	"26.674"	"25.798"	"23.336"	"21.348"
"1997"	"20.276"	"22.033"	"27.692"	"29.203"	"31.502"	"29.029"	"26.86"	"26.177"	"26.38"	"26.449"	"25.786"	"22.168"
"1998"	"21.531"	"22.969"	"27.291"	"32.08"	"34.231"	"31.629"	"27.4"	"27.127"	"26.826"	"27.356"	"24.171"	"21.207"
"1999"	"20.698"	"24.381"	"28.222"	"32.107"	"32.402"	"28.993"	"26.911"	"26.133"	"26.094"	"26.14"	"23.089"	"20.696"
"2000"	"21.839"	"22.265"	"26.815"	"32.737"	"31.336"	"29.284"	"26.073"	"27.081"	"26.937"	"27.777"	"24.835"	"21.665"
"2001"	"21.559"	"24.468"	"27.594"	"30.667"	"32.256"	"28.456"	"26.059"	"25.958"	"27.571"	"26.551"	"23.827"	"22.57"
"2002"	"20.546"	"24.309"	"27.857"	"31.919"	"33.128"	"29.397"	"27.446"	"25.142"	"26.015"	"27.18"	"24.036"	"22.712"
