
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"10.856"	"11.131"	"11.285"	"17.334"	"18.241"	"24.093"	"27.461"	"25.687"	"25.313"	"14.173"	"13.909"	"11.987"
"1992"	"11.118"	"10.229"	"11.45"	"17.376"	"18.244"	"25.206"	"29.257"	"25.621"	"25.191"	"13.69"	"13.909"	"11.832"
"1993"	"11.163"	"11.296"	"10.559"	"17.376"	"18.79"	"25.24"	"27.461"	"25.647"	"25.214"	"13.913"	"13.909"	"11.531"
"1994"	"11.376"	"10.888"	"11.495"	"16.897"	"18.765"	"22.692"	"27.461"	"25.621"	"25.234"	"13.655"	"13.912"	"11.674"
"1995"	"10.168"	"10.977"	"10.53"	"17.315"	"18.241"	"26.807"	"27.461"	"27.321"	"25.224"	"14.488"	"13.912"	"12.306"
"1996"	"12.277"	"11.641"	"12.191"	"17.334"	"18.284"	"25.378"	"27.932"	"25.601"	"25.239"	"13.721"	"13.909"	"11.826"
"1997"	"10.355"	"10.244"	"11.202"	"15.848"	"17.628"	"23.048"	"27.461"	"25.758"	"25.184"	"13.478"	"15.909"	"12.053"
"1998"	"11.03"	"11.067"	"11.232"	"18.072"	"19.503"	"25.792"	"27.93"	"27.321"	"25.191"	"14.391"	"13.909"	"11.833"
"1999"	"10.893"	"11.683"	"11.424"	"18.104"	"18.243"	"22.835"	"27.461"	"25.689"	"25.172"	"13.674"	"13.909"	"11.826"
"2000"	"11.474"	"10.194"	"10.857"	"18.425"	"17.518"	"23.286"	"27.461"	"27.056"	"25.189"	"14.674"	"14.847"	"12.223"
"2001"	"11.025"	"11.631"	"11.202"	"17.351"	"18.274"	"22.148"	"27.344"	"25.599"	"26.844"	"14.008"	"13.911"	"12.13"
"2002"	"10.988"	"11.604"	"11.631"	"18.132"	"18.275"	"23.742"	"27.463"	"25.601"	"25.241"	"14.298"	"13.909"	"12.321"
