
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"22.035"	"24.897"	"28.895"	"30.79"	"33.289"	"28.966"	"26.155"	"25.793"	"27.472"	"27.604"	"24.599"	"21.722"
"1992"	"22.195"	"23.735"	"29.21"	"31.623"	"33.495"	"30.922"	"27.99"	"25.759"	"26.334"	"26.699"	"24.242"	"21.704"
"1993"	"23.33"	"24.043"	"27.159"	"31.699"	"33.46"	"30.924"	"26.77"	"26.081"	"25.993"	"26.813"	"23.953"	"20.676"
"1994"	"22.518"	"24.089"	"29.46"	"29.877"	"32.992"	"28.32"	"25.646"	"25.534"	"25.746"	"27.079"	"23.428"	"21.134"
"1995"	"20.038"	"24.456"	"27.499"	"30.936"	"31.809"	"31.604"	"27.499"	"27.344"	"27.114"	"27.198"	"24.801"	"23.872"
"1996"	"24.586"	"26.103"	"30.246"	"31.868"	"33.26"	"30.421"	"27.416"	"26.082"	"26.386"	"25.829"	"23.355"	"21.955"
"1997"	"20.559"	"22.663"	"28.225"	"29.135"	"31.408"	"28.438"	"26.51"	"26.094"	"25.871"	"26.405"	"26.156"	"23.435"
"1998"	"22.709"	"23.953"	"28.226"	"32.444"	"34.242"	"31.259"	"27.42"	"27.041"	"26.353"	"27.063"	"24.288"	"21.11"
"1999"	"21.127"	"25.536"	"28.974"	"32.436"	"31.793"	"28.049"	"26.495"	"25.98"	"25.414"	"26.069"	"23.543"	"21.186"
"2000"	"22.669"	"23.858"	"27.486"	"32.86"	"31.554"	"28.463"	"25.975"	"26.984"	"26.977"	"27.988"	"24.868"	"21.864"
"2001"	"22.815"	"25.545"	"28.768"	"30.879"	"32.767"	"28.312"	"26.42"	"25.877"	"27.548"	"26.521"	"24.207"	"23.629"
"2002"	"21.94"	"26.242"	"28.859"	"32.481"	"33.014"	"28.801"	"27.191"	"25.034"	"25.812"	"27.219"	"23.945"	"22.839"
