
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"10.94"	"10.963"	"11.096"	"17.944"	"17.262"	"22.675"	"26.332"	"24.63"	"25.077"	"16.725"	"13.556"	"11.553"
"1992"	"11.055"	"9.945"	"11.143"	"18.019"	"17.407"	"24.325"	"28.024"	"24.63"	"24.407"	"16.067"	"13.556"	"11.323"
"1993"	"11.09"	"11.02"	"10.128"	"18.019"	"17.974"	"24.328"	"26.332"	"24.638"	"24.407"	"16.097"	"13.556"	"11.098"
"1994"	"11.122"	"10.662"	"11.691"	"17.064"	"17.768"	"22.09"	"26.332"	"24.63"	"24.407"	"16.067"	"13.556"	"10.84"
"1995"	"9.869"	"10.711"	"10.329"	"18.019"	"17.103"	"25.764"	"26.332"	"26.333"	"24.407"	"16.216"	"13.642"	"12.226"
"1996"	"12.475"	"11.324"	"11.776"	"18.019"	"17.7"	"24.363"	"26.34"	"24.628"	"24.407"	"16.067"	"13.556"	"11.497"
"1997"	"10.296"	"9.813"	"10.852"	"16.234"	"16.737"	"22.79"	"26.332"	"25.107"	"24.405"	"16.124"	"15.47"	"12.195"
"1998"	"11.143"	"11.006"	"11.21"	"18.518"	"18.358"	"25.121"	"27.307"	"26.333"	"24.407"	"16.233"	"13.564"	"11.497"
"1999"	"10.617"	"11.418"	"11.245"	"18.458"	"17.15"	"21.735"	"26.332"	"24.638"	"24.407"	"16.067"	"13.556"	"11.551"
"2000"	"11.24"	"10.077"	"10.183"	"19.119"	"16.77"	"22.025"	"26.332"	"25.72"	"24.407"	"17.172"	"14.346"	"11.605"
"2001"	"11.032"	"11.332"	"10.852"	"17.963"	"17.479"	"21.718"	"26.332"	"24.628"	"25.992"	"16.179"	"13.556"	"11.981"
"2002"	"11.031"	"11.319"	"11.431"	"19.191"	"17.584"	"22.853"	"26.332"	"24.628"	"24.407"	"16.468"	"13.556"	"11.888"
