
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"22.874"	"23.896"	"25.593"	"27.35"	"28.068"	"25.869"	"23.968"	"24.204"	"24.883"	"25.701"	"25.351"	"22.945"
"1992"	"22.813"	"22.801"	"25.723"	"26.743"	"27.734"	"26.514"	"24.999"	"24.334"	"25.058"	"25.345"	"25.734"	"23.249"
"1993"	"23.492"	"23.667"	"25.021"	"27.19"	"28.043"	"26.383"	"24.403"	"24.438"	"24.218"	"25.411"	"25.661"	"23.3"
"1994"	"23.416"	"23.444"	"26.565"	"26.969"	"27.896"	"25.242"	"24.248"	"24.503"	"24.654"	"25.508"	"24.964"	"22.933"
"1995"	"21.856"	"23.73"	"25.43"	"27.486"	"27.584"	"27.012"	"24.753"	"25.237"	"24.993"	"25.468"	"24.736"	"24.067"
"1996"	"23.732"	"24.646"	"26.821"	"27.393"	"28.033"	"26.349"	"24.487"	"24.374"	"24.64"	"24.836"	"24.822"	"23.87"
"1997"	"22.338"	"22.543"	"26.023"	"26.241"	"27.814"	"25.951"	"24.763"	"24.244"	"24.97"	"26.256"	"26.459"	"25.388"
"1998"	"23.749"	"23.388"	"26.055"	"28.177"	"28.76"	"26.788"	"24.845"	"25.051"	"24.877"	"25.306"	"25.057"	"23.162"
"1999"	"22.078"	"24.994"	"26.429"	"27.623"	"27.331"	"24.872"	"24.235"	"24.395"	"24.272"	"25.374"	"24.905"	"23.474"
"2000"	"23.724"	"23.086"	"25.198"	"27.746"	"27.277"	"25.419"	"24.048"	"24.544"	"25.065"	"25.808"	"25.16"	"23.3"
"2001"	"23.561"	"24.376"	"25.042"	"27.54"	"27.844"	"25.7"	"24.201"	"24.206"	"25.048"	"25.223"	"25.597"	"24.04"
"2002"	"22.545"	"24.953"	"26.747"	"28.029"	"28.306"	"25.84"	"24.721"	"24.2"	"24.903"	"26.22"	"25.413"	"24.293"
