
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"17.156"	"18.275"	"20.368"	"24.799"	"25.514"	"28.317"	"26.983"	"26.093"	"25.384"	"22.642"	"19.882"	"19.903"
"1992"	"17.091"	"17.262"	"20.352"	"24.874"	"25.514"	"29.008"	"27.08"	"26.093"	"25.378"	"22.642"	"19.882"	"19.903"
"1993"	"17.095"	"18.659"	"20.319"	"24.799"	"25.526"	"29.259"	"27.052"	"26.093"	"25.378"	"22.642"	"19.896"	"19.883"
"1994"	"17.119"	"18.27"	"20.5"	"24.733"	"25.558"	"27.711"	"26.977"	"26.093"	"25.401"	"22.66"	"19.907"	"19.619"
"1995"	"16.242"	"18.38"	"20.33"	"24.799"	"25.5"	"29.503"	"27.052"	"27.332"	"25.362"	"22.66"	"20.11"	"20.395"
"1996"	"17.346"	"18.783"	"21.519"	"24.874"	"25.564"	"29.027"	"27.024"	"26.093"	"25.378"	"22.642"	"19.818"	"19.798"
"1997"	"17.08"	"17.274"	"20.352"	"23.509"	"25.514"	"28.057"	"27.057"	"26.093"	"25.378"	"23.468"	"21.099"	"20.917"
"1998"	"17.289"	"18.726"	"20.363"	"26.21"	"27.022"	"29.626"	"27.08"	"26.093"	"25.373"	"22.642"	"19.882"	"19.817"
"1999"	"16.35"	"19.278"	"20.514"	"24.799"	"25.358"	"27.773"	"27.057"	"26.093"	"25.314"	"22.692"	"19.987"	"19.808"
"2000"	"17.091"	"17.881"	"20.263"	"24.889"	"25.514"	"27.688"	"27.024"	"26.093"	"25.373"	"22.948"	"19.888"	"19.817"
"2001"	"17.091"	"18.824"	"20.357"	"24.799"	"25.646"	"27.718"	"26.852"	"26.093"	"25.378"	"22.692"	"19.885"	"19.868"
"2002"	"17.149"	"19.277"	"21.221"	"24.805"	"25.636"	"27.711"	"27.057"	"25.939"	"25.28"	"22.664"	"19.882"	"19.82"
