
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"23.586"	"26.184"	"30.062"	"31.69"	"33.572"	"28.438"	"26.222"	"26.343"	"27.863"	"27.464"	"24.516"	"22.455"
"1992"	"22.41"	"24.963"	"29.988"	"32.175"	"33.533"	"30.139"	"28.055"	"26.09"	"26.762"	"27.012"	"24.85"	"21.953"
"1993"	"23.953"	"24.881"	"28.559"	"32.168"	"33.667"	"30.593"	"27.165"	"26.282"	"26.437"	"26.719"	"24.521"	"21.168"
"1994"	"23.394"	"25.611"	"30.481"	"30.717"	"33.436"	"28.559"	"26.144"	"26.083"	"26.605"	"26.68"	"23.486"	"21.296"
"1995"	"21.113"	"25.588"	"28.845"	"31.669"	"31.398"	"31.104"	"27.293"	"27.746"	"27.283"	"26.678"	"25.032"	"23.836"
"1996"	"24.98"	"26.679"	"30.669"	"31.67"	"33.648"	"30.27"	"27.502"	"26.257"	"26.765"	"25.991"	"24.057"	"22.582"
"1997"	"22.031"	"24.396"	"29.152"	"29.897"	"32.135"	"29.417"	"27.231"	"26.467"	"26.627"	"26.8"	"26.465"	"24.583"
"1998"	"24.435"	"25.972"	"29.742"	"33.122"	"34.272"	"31.014"	"27.952"	"26.993"	"26.849"	"26.814"	"24.801"	"21.654"
"1999"	"22.279"	"26.466"	"30.065"	"32.961"	"31.675"	"28.066"	"26.873"	"26.265"	"25.949"	"26.42"	"24.304"	"22.254"
"2000"	"23.78"	"25.585"	"28.649"	"33.183"	"31.679"	"27.789"	"26.253"	"26.613"	"26.895"	"27.742"	"25.027"	"22.291"
"2001"	"23.876"	"26.677"	"29.52"	"31.739"	"33.318"	"28.281"	"26.993"	"26.122"	"27.633"	"26.528"	"25.06"	"23.382"
"2002"	"23.031"	"26.679"	"30.029"	"33.232"	"33.25"	"28.697"	"27.656"	"25.607"	"26.702"	"27.211"	"24.181"	"23.177"
