
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"11.465"	"11.251"	"11.45"	"15.287"	"17.564"	"23.378"	"25.098"	"23.503"	"24.522"	"17.793"	"13.173"	"11.455"
"1992"	"10.989"	"9.974"	"11.175"	"15.304"	"17.616"	"24.814"	"26.645"	"23.525"	"23.32"	"17.548"	"13.262"	"11.22"
"1993"	"11.361"	"11.066"	"10.543"	"15.278"	"18.018"	"24.916"	"25.024"	"23.525"	"23.381"	"17.552"	"13.185"	"10.844"
"1994"	"11.38"	"10.772"	"11.932"	"14.404"	"17.648"	"23.123"	"25.024"	"23.463"	"23.679"	"17.552"	"13.259"	"11.104"
"1995"	"9.977"	"10.828"	"10.626"	"15.306"	"16.106"	"26.439"	"25.024"	"25.08"	"23.286"	"17.536"	"13.813"	"12.449"
"1996"	"12.808"	"11.261"	"11.911"	"15.318"	"18.336"	"25.019"	"25.024"	"23.503"	"23.312"	"17.492"	"13.173"	"11.455"
"1997"	"10.697"	"9.972"	"11.048"	"13.303"	"16.672"	"24.409"	"25.102"	"24.15"	"23.381"	"17.552"	"14.931"	"12.943"
"1998"	"11.858"	"11.332"	"11.613"	"16.228"	"18.056"	"26.22"	"26.553"	"24.496"	"23.287"	"17.548"	"13.336"	"11.523"
"1999"	"10.629"	"11.619"	"11.645"	"15.487"	"16.792"	"22.584"	"25.024"	"23.521"	"23.286"	"17.536"	"13.173"	"11.455"
"2000"	"11.579"	"10.364"	"10.398"	"16.247"	"16.662"	"22.259"	"25.024"	"24.877"	"23.287"	"18.103"	"13.885"	"11.446"
"2001"	"11.386"	"11.53"	"11.048"	"15.203"	"17.671"	"22.889"	"25.097"	"23.525"	"24.806"	"17.556"	"13.226"	"12.1"
"2002"	"11.377"	"11.309"	"11.847"	"16.507"	"17.773"	"23.458"	"25.119"	"23.507"	"23.385"	"17.608"	"13.173"	"11.771"
