
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.292"	"25.848"	"29.447"	"31.959"	"36.452"	"31.038"	"28.018"	"26.61"	"28.49"	"27.124"	"23.549"	"21.074"
"1992"	"21.966"	"24.233"	"30.369"	"33.351"	"35.456"	"33.456"	"29.905"	"26.673"	"27.55"	"27.036"	"23.562"	"20.699"
"1993"	"22.66"	"24.103"	"27.345"	"32.823"	"36.371"	"32.997"	"28.289"	"27.117"	"27.305"	"26.871"	"22.857"	"19.689"
"1994"	"22.408"	"23.698"	"29.433"	"31.181"	"36.236"	"30.307"	"26.425"	"26.257"	"27.116"	"26.802"	"23.331"	"20.635"
"1995"	"19.192"	"24.113"	"27.679"	"31.487"	"33.598"	"34.218"	"28.133"	"27.908"	"27.93"	"27.19"	"23.985"	"22.99"
"1996"	"23.623"	"25.67"	"30.013"	"32.106"	"36.227"	"33.783"	"28.688"	"27.183"	"27.93"	"26.207"	"23.62"	"20.69"
"1997"	"20.167"	"23.275"	"29.065"	"30.198"	"34.374"	"31.653"	"28.038"	"27.611"	"27.516"	"26.543"	"25.469"	"21.092"
"1998"	"22.115"	"23.732"	"26.936"	"32.327"	"35.665"	"33.311"	"28.835"	"28.07"	"27.801"	"27.714"	"23.838"	"20.22"
"1999"	"20.264"	"25.314"	"29.263"	"34.066"	"34.724"	"30.724"	"27.796"	"26.981"	"26.677"	"26.849"	"23.859"	"20.613"
"2000"	"22.219"	"23.676"	"27.963"	"34.172"	"34.074"	"29.733"	"27.249"	"27.845"	"27.453"	"28.001"	"24.913"	"21.476"
"2001"	"22.165"	"26.029"	"29.369"	"31.552"	"35.75"	"29.941"	"27.691"	"27.101"	"28.83"	"27.129"	"24.955"	"22.295"
"2002"	"21.673"	"25.605"	"29.471"	"33.725"	"36.345"	"31.375"	"28.931"	"26.348"	"27.48"	"27.444"	"24.247"	"23.391"
