
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"14.234"	"13.88"	"12.694"	"13.212"	"15.441"	"11.834"	"32.557"	"30.505"	"29.688"	"20.196"	"16.154"	"14.416"
"1992"	"13.863"	"13.075"	"12.822"	"13.375"	"15.044"	"12.214"	"35.228"	"30.509"	"28.844"	"20.072"	"16.681"	"14.244"
"1993"	"14.806"	"13.08"	"11.561"	"13.335"	"15.495"	"12.171"	"32.592"	"30.518"	"28.805"	"20.076"	"16.129"	"13.492"
"1994"	"15.122"	"13.075"	"13.062"	"12.471"	"15.525"	"10.393"	"30.782"	"30.42"	"28.844"	"20.082"	"16.162"	"14.396"
"1995"	"12.588"	"13.088"	"11.548"	"12.743"	"13.77"	"13.496"	"32.468"	"30.734"	"28.844"	"20.194"	"16.162"	"15.21"
"1996"	"15.89"	"13.819"	"13.035"	"13.211"	"15.87"	"13.017"	"32.935"	"30.515"	"28.844"	"20.077"	"16.142"	"14.326"
"1997"	"13.411"	"12.484"	"12.281"	"11.481"	"13.907"	"12.372"	"32.472"	"30.589"	"28.952"	"20.082"	"17.19"	"14.74"
"1998"	"14.871"	"13.079"	"11.436"	"13.344"	"15.209"	"12.59"	"32.681"	"32.321"	"28.844"	"20.983"	"16.633"	"14.426"
"1999"	"13.625"	"13.209"	"12.82"	"14.157"	"14.451"	"10.291"	"32.468"	"30.509"	"28.844"	"20.045"	"16.219"	"14.422"
"2000"	"14.973"	"12.839"	"12.271"	"14.143"	"13.77"	"10.041"	"32.469"	"31.656"	"28.844"	"21.343"	"17.163"	"14.411"
"2001"	"14.31"	"13.744"	"12.329"	"12.791"	"14.991"	"9.61"	"32.449"	"30.491"	"30.616"	"20.083"	"17.145"	"15.156"
"2002"	"14.31"	"13.47"	"13.037"	"14.036"	"15.518"	"11.35"	"33.845"	"30.509"	"28.844"	"20.18"	"16.08"	"15.66"
