
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"22.88"	"26.397"	"29.928"	"31.86"	"34.321"	"28.799"	"26.665"	"26.178"	"27.776"	"27.152"	"23.919"	"21.856"
"1992"	"22.711"	"24.997"	"30.244"	"32.169"	"33.916"	"31.137"	"28.157"	"25.821"	"26.376"	"26.635"	"24.072"	"21.318"
"1993"	"23.451"	"24.595"	"28.482"	"32.364"	"34.455"	"31.657"	"27.135"	"26.309"	"26.535"	"26.786"	"23.913"	"20.606"
"1994"	"22.933"	"25.396"	"30.291"	"30.817"	"34.269"	"28.878"	"25.868"	"25.672"	"26.432"	"26.8"	"23.22"	"21.057"
"1995"	"20.605"	"25.328"	"28.554"	"31.78"	"32.373"	"31.8"	"27.359"	"27.579"	"27.146"	"26.629"	"24.794"	"23.981"
"1996"	"24.791"	"26.369"	"30.552"	"32.053"	"34.376"	"30.334"	"27.806"	"26.396"	"26.702"	"25.795"	"23.519"	"21.947"
"1997"	"21.255"	"23.935"	"28.942"	"29.668"	"32.671"	"29.631"	"27.07"	"26.571"	"26.442"	"26.336"	"26.05"	"23.924"
"1998"	"23.815"	"25.535"	"29.449"	"33.219"	"35.018"	"31.972"	"28.102"	"27.108"	"26.728"	"26.889"	"24.429"	"21.211"
"1999"	"21.849"	"26.221"	"29.835"	"33.198"	"32.446"	"28.469"	"26.926"	"26.238"	"25.89"	"26.17"	"23.958"	"21.649"
"2000"	"23.335"	"25.234"	"28.538"	"33.49"	"32.397"	"28.304"	"26.254"	"26.912"	"27.123"	"27.88"	"25.05"	"22.202"
"2001"	"23.399"	"26.623"	"29.81"	"31.351"	"34.182"	"28.643"	"27.223"	"26.157"	"27.976"	"26.419"	"24.764"	"23.598"
"2002"	"22.931"	"26.739"	"29.897"	"33.213"	"33.952"	"29.165"	"27.7"	"25.297"	"26.386"	"26.879"	"23.77"	"23.001"
