
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"12.472"	"12.426"	"12.241"	"15.52"	"17.719"	"20.621"	"26.773"	"25.273"	"26.139"	"18.305"	"14.077"	"12.286"
"1992"	"12.012"	"11.348"	"12.007"	"15.54"	"17.988"	"22.314"	"28.483"	"25.263"	"25.027"	"18.068"	"14.427"	"11.735"
"1993"	"12.381"	"11.973"	"11.146"	"15.535"	"18.21"	"22.545"	"26.768"	"25.289"	"25.069"	"18.109"	"14.089"	"11.503"
"1994"	"12.459"	"11.75"	"12.629"	"14.974"	"17.983"	"20.344"	"26.509"	"25.252"	"25.332"	"18.14"	"14.186"	"11.956"
"1995"	"10.739"	"11.75"	"11.224"	"15.559"	"16.075"	"23.938"	"26.768"	"26.843"	"25.043"	"18.047"	"14.767"	"13.205"
"1996"	"14.011"	"12.202"	"12.536"	"15.562"	"18.819"	"22.641"	"26.768"	"25.257"	"25.064"	"18.067"	"14.143"	"12.224"
"1997"	"11.538"	"11.129"	"11.735"	"13.516"	"16.503"	"22.144"	"26.768"	"26.067"	"25.069"	"18.11"	"16.045"	"13.549"
"1998"	"12.904"	"12.116"	"12.112"	"16.291"	"18.161"	"23.758"	"28.327"	"26.582"	"25.043"	"18.089"	"14.31"	"12.228"
"1999"	"11.658"	"12.258"	"12.358"	"16.012"	"16.928"	"20.134"	"26.768"	"25.305"	"25.043"	"18.067"	"14.106"	"12.241"
"2000"	"12.701"	"11.349"	"11.311"	"16.521"	"16.516"	"19.833"	"26.768"	"26.507"	"25.027"	"18.958"	"15.058"	"12.241"
"2001"	"12.424"	"12.549"	"11.735"	"15.486"	"17.898"	"20.19"	"26.778"	"25.24"	"26.729"	"18.162"	"14.315"	"12.893"
"2002"	"12.387"	"12.028"	"12.561"	"16.681"	"18.107"	"21.141"	"26.91"	"25.257"	"25.069"	"18.056"	"14.143"	"12.856"
