
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"20.439"	"23.187"	"26.902"	"29.891"	"32.167"	"30.548"	"27.331"	"26.579"	"27.097"	"27.447"	"25.091"	"21.786"
"1992"	"21.605"	"21.799"	"26.992"	"29.54"	"31.48"	"31.267"	"28.698"	"26.727"	"26.733"	"27.193"	"24.755"	"22.596"
"1993"	"21.987"	"23.425"	"26.366"	"29.44"	"32.042"	"30.67"	"27.521"	"27.294"	"26.978"	"28.05"	"25.381"	"22.565"
"1994"	"22.528"	"22.183"	"27.239"	"29.564"	"32.127"	"29.056"	"26.483"	"26.335"	"26.161"	"27.518"	"24.808"	"21.727"
"1995"	"19.941"	"22.982"	"26.346"	"30.085"	"31.92"	"32.181"	"28.074"	"27.583"	"27.854"	"28.55"	"24.672"	"22.842"
"1996"	"22.27"	"24.113"	"28.64"	"30.16"	"31.704"	"30.882"	"27.998"	"26.572"	"27.289"	"27.066"	"24.696"	"22.424"
"1997"	"20.872"	"22.209"	"27.377"	"28.65"	"30.503"	"29.105"	"27.414"	"26.59"	"27.244"	"27.423"	"26.833"	"22.718"
"1998"	"21.626"	"22.813"	"26.605"	"31.112"	"32.981"	"31.047"	"27.546"	"27.637"	"27.533"	"28.713"	"25.184"	"22.255"
"1999"	"20.901"	"24.16"	"27.586"	"31.038"	"31.397"	"29.091"	"27.335"	"26.735"	"27.187"	"27.083"	"24.414"	"21.826"
"2000"	"22.065"	"21.851"	"26.266"	"31.691"	"30.302"	"29.534"	"26.608"	"27.496"	"27.517"	"28.631"	"25.902"	"23.075"
"2001"	"21.453"	"23.818"	"26.811"	"30.061"	"30.978"	"28.155"	"26.07"	"26.523"	"28.113"	"27.85"	"25.077"	"22.924"
"2002"	"20.469"	"23.428"	"27.316"	"30.99"	"32.091"	"29.538"	"27.884"	"26.058"	"26.964"	"28.513"	"25.457"	"23.619"
