
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"11.467"	"12.327"	"13.475"	"18.854"	"22.42"	"28.075"	"28.782"	"27"	"26.372"	"9.291"	"15.104"	"12.901"
"1992"	"11.589"	"11.524"	"13.479"	"18.871"	"22.408"	"29.076"	"30.526"	"27"	"26.249"	"9.411"	"15.092"	"13.047"
"1993"	"11.714"	"12.924"	"13.133"	"18.863"	"22.625"	"28.955"	"28.782"	"27.244"	"26.321"	"9.667"	"15.162"	"12.823"
"1994"	"12.201"	"12.316"	"13.935"	"18.85"	"22.508"	"26.55"	"28.749"	"27"	"26.321"	"9.393"	"15.138"	"12.725"
"1995"	"10.927"	"12.501"	"12.937"	"18.863"	"22.513"	"30.567"	"28.782"	"28.565"	"26.373"	"10.031"	"15.103"	"12.957"
"1996"	"12.403"	"13.114"	"14.922"	"18.921"	"22.445"	"28.879"	"28.843"	"27"	"26.358"	"9.411"	"15.069"	"12.753"
"1997"	"11.151"	"11.652"	"13.466"	"17.845"	"22.222"	"26.842"	"28.782"	"27"	"26.369"	"8.739"	"16.995"	"12.839"
"1998"	"11.576"	"12.319"	"13.461"	"20.148"	"23.919"	"28.912"	"28.79"	"28.47"	"26.48"	"10.144"	"15.092"	"12.899"
"1999"	"11.524"	"13.065"	"13.47"	"19.769"	"22.449"	"26.882"	"28.782"	"27"	"26.333"	"9.411"	"15.143"	"12.828"
"2000"	"12.283"	"11.555"	"13.413"	"19.782"	"21.436"	"27.367"	"28.782"	"28.5"	"26.381"	"10.159"	"16.033"	"13.522"
"2001"	"11.576"	"12.912"	"13.466"	"18.921"	"22.412"	"25.581"	"27.522"	"27"	"28"	"9.771"	"15.23"	"12.84"
"2002"	"11.576"	"13.004"	"13.659"	"20.184"	"22.536"	"27.375"	"29.096"	"27"	"26.334"	"10.147"	"15.277"	"13.562"
