
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"20.877"	"22.728"	"26.06"	"28.559"	"30.664"	"28.75"	"25.81"	"25.583"	"26.506"	"26.928"	"24.877"	"21.697"
"1992"	"21.534"	"21.824"	"26.256"	"28.287"	"30.193"	"29.543"	"27.351"	"25.631"	"26.155"	"26.315"	"24.805"	"22.436"
"1993"	"22.073"	"23.013"	"25.456"	"28.347"	"30.532"	"29.147"	"26.396"	"26.074"	"25.672"	"26.815"	"24.729"	"22.049"
"1994"	"22.203"	"22.183"	"26.739"	"27.988"	"30.372"	"27.754"	"25.431"	"25.406"	"25.189"	"26.787"	"24.298"	"21.396"
"1995"	"19.96"	"22.81"	"25.522"	"28.7"	"30.198"	"30.482"	"26.878"	"26.645"	"26.683"	"27.226"	"24.355"	"22.88"
"1996"	"22.506"	"23.876"	"27.659"	"28.883"	"30.372"	"29.389"	"26.553"	"25.584"	"26.17"	"25.998"	"24"	"22.514"
"1997"	"20.76"	"21.64"	"26.39"	"27.193"	"29.101"	"27.702"	"26.359"	"25.553"	"26.086"	"26.713"	"26.707"	"23.433"
"1998"	"22.006"	"22.444"	"25.836"	"29.648"	"31.566"	"29.506"	"26.469"	"26.625"	"26.42"	"27.245"	"24.885"	"22.011"
"1999"	"20.784"	"23.973"	"26.804"	"29.59"	"29.608"	"27.509"	"26.057"	"25.649"	"25.645"	"26.128"	"24.018"	"21.908"
"2000"	"22.138"	"21.874"	"25.199"	"30.088"	"28.957"	"27.898"	"25.483"	"26.373"	"26.392"	"27.622"	"25.126"	"22.438"
"2001"	"21.936"	"23.602"	"25.745"	"28.842"	"29.66"	"27.163"	"25.118"	"25.443"	"26.86"	"26.648"	"24.605"	"23.016"
"2002"	"20.456"	"23.656"	"26.442"	"29.771"	"30.633"	"28.07"	"26.648"	"25.115"	"26.017"	"27.61"	"24.942"	"23.373"
