
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"13.083"	"13.7"	"15.229"	"23.243"	"22.718"	"27.294"	"27.395"	"25.864"	"25.961"	"16.151"	"17.276"	"14.612"
"1992"	"13.151"	"12.812"	"15.247"	"23.212"	"22.662"	"28.613"	"28.904"	"25.864"	"25.827"	"16.382"	"17.252"	"14.724"
"1993"	"13.114"	"14.322"	"14.573"	"23.243"	"22.71"	"28.454"	"27.428"	"26.189"	"25.878"	"16.391"	"17.28"	"14.534"
"1994"	"13.604"	"13.696"	"16.171"	"22.437"	"22.75"	"26.439"	"27.33"	"25.864"	"25.889"	"16.314"	"17.314"	"13.876"
"1995"	"12.347"	"13.88"	"14.412"	"23.243"	"23.026"	"30.103"	"27.395"	"27.516"	"25.926"	"16.616"	"17.276"	"14.912"
"1996"	"13.912"	"14.557"	"16.485"	"23.243"	"22.712"	"28.445"	"27.418"	"25.864"	"25.926"	"16.248"	"17.245"	"14.489"
"1997"	"12.612"	"12.841"	"15.229"	"22.054"	"22.548"	"26.613"	"27.395"	"25.864"	"25.925"	"15.974"	"19.379"	"15.079"
"1998"	"13.114"	"13.803"	"15.247"	"23.923"	"24.174"	"28.449"	"27.504"	"27.206"	"25.834"	"16.815"	"17.252"	"14.575"
"1999"	"12.794"	"14.607"	"15.247"	"23.472"	"22.718"	"26.502"	"27.395"	"25.864"	"25.878"	"16.405"	"17.343"	"14.519"
"2000"	"13.57"	"13.026"	"14.76"	"24.484"	"22.374"	"26.776"	"27.395"	"26.72"	"25.833"	"17.335"	"17.972"	"15.001"
"2001"	"13.114"	"14.224"	"15.229"	"23.243"	"22.662"	"25.624"	"26.67"	"25.864"	"26.863"	"16.543"	"17.258"	"14.538"
"2002"	"13.114"	"14.508"	"15.684"	"24.679"	"23.022"	"26.868"	"27.409"	"25.864"	"25.87"	"17.323"	"17.252"	"15.017"
