
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"23.659"	"26.045"	"29.591"	"31.264"	"32.916"	"28.15"	"26.01"	"26.529"	"27.863"	"27.589"	"24.928"	"22.665"
"1992"	"22.309"	"24.288"	"29.405"	"31.885"	"33.063"	"29.824"	"27.993"	"26.314"	"27.073"	"27.398"	"25.034"	"22.236"
"1993"	"24.037"	"24.823"	"28.019"	"32.024"	"33.147"	"30.375"	"27.146"	"26.306"	"26.437"	"26.681"	"24.949"	"21.441"
"1994"	"23.485"	"25.239"	"30.252"	"30.426"	"32.921"	"28.257"	"26.208"	"26.37"	"27.017"	"26.692"	"23.872"	"21.686"
"1995"	"21.074"	"25.299"	"28.641"	"31.729"	"30.973"	"31.181"	"27.323"	"27.968"	"27.376"	"26.736"	"25.1"	"24.045"
"1996"	"24.931"	"26.57"	"30.522"	"31.676"	"33.301"	"30.182"	"27.5"	"26.547"	"26.772"	"26.097"	"24.379"	"22.857"
"1997"	"22.332"	"24.432"	"29.099"	"29.901"	"31.839"	"29.252"	"27.332"	"26.48"	"26.75"	"27.109"	"26.752"	"24.89"
"1998"	"24.616"	"25.912"	"29.525"	"32.889"	"33.819"	"30.621"	"27.834"	"27.134"	"26.957"	"26.897"	"25.037"	"21.971"
"1999"	"22.424"	"26.552"	"29.947"	"32.732"	"31.311"	"28.001"	"26.811"	"26.378"	"25.989"	"26.533"	"24.526"	"22.576"
"2000"	"23.993"	"25.517"	"28.398"	"32.911"	"31.32"	"27.771"	"26.319"	"26.707"	"26.935"	"27.794"	"25.066"	"22.418"
"2001"	"24.099"	"26.591"	"29.149"	"31.774"	"32.753"	"28.242"	"26.808"	"26.122"	"27.547"	"26.685"	"25.199"	"23.458"
"2002"	"22.89"	"26.659"	"29.802"	"33.083"	"32.836"	"28.675"	"27.602"	"25.884"	"26.872"	"27.514"	"24.523"	"23.427"
