
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"11.766"	"11.671"	"12.182"	"17.832"	"18.379"	"24.695"	"25.209"	"23.576"	"24.22"	"18.429"	"13.936"	"12.321"
"1992"	"11.442"	"10.387"	"12.006"	"17.832"	"18.372"	"26.188"	"26.593"	"23.614"	"23.43"	"18.301"	"13.929"	"12.221"
"1993"	"11.665"	"11.658"	"11.458"	"17.816"	"18.703"	"26.171"	"25.077"	"23.668"	"23.43"	"18.287"	"13.936"	"11.809"
"1994"	"11.692"	"11.372"	"12.811"	"16.872"	"18.418"	"24.56"	"25.064"	"23.575"	"23.654"	"18.31"	"13.959"	"11.89"
"1995"	"10.397"	"11.379"	"11.563"	"17.819"	"17.347"	"27.798"	"25.064"	"25.175"	"23.384"	"18.301"	"14.35"	"13.24"
"1996"	"12.899"	"11.893"	"12.85"	"17.835"	"18.987"	"26.317"	"25.064"	"23.576"	"23.406"	"18.261"	"13.909"	"12.315"
"1997"	"11.035"	"10.452"	"11.88"	"15.889"	"17.779"	"25.631"	"25.209"	"24.089"	"23.402"	"18.335"	"15.491"	"13.611"
"1998"	"12.093"	"11.881"	"12.346"	"18.652"	"19.091"	"27.269"	"26.31"	"24.429"	"23.403"	"18.301"	"13.992"	"12.361"
"1999"	"11.004"	"12.264"	"12.412"	"18.016"	"17.809"	"24.013"	"25.11"	"23.64"	"23.384"	"18.287"	"13.936"	"12.29"
"2000"	"11.903"	"10.903"	"11.193"	"18.674"	"17.761"	"23.747"	"25.07"	"24.468"	"23.403"	"18.918"	"14.436"	"12.271"
"2001"	"11.675"	"12.114"	"11.88"	"17.724"	"18.547"	"24.283"	"25.136"	"23.63"	"24.443"	"18.301"	"13.974"	"12.822"
"2002"	"11.698"	"12.008"	"12.649"	"19.096"	"18.542"	"24.688"	"25.228"	"23.586"	"23.461"	"18.753"	"13.909"	"12.414"
