
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"22.518"	"25.568"	"29.404"	"31.266"	"33.624"	"28.601"	"26.159"	"25.851"	"27.533"	"27.33"	"24.176"	"21.713"
"1992"	"22.375"	"24.387"	"29.703"	"31.857"	"33.624"	"30.624"	"27.868"	"25.639"	"26.213"	"26.533"	"24.124"	"21.435"
"1993"	"23.456"	"24.3"	"27.779"	"31.992"	"33.81"	"30.945"	"26.759"	"25.978"	"26.063"	"26.611"	"23.803"	"20.534"
"1994"	"22.714"	"24.778"	"29.908"	"30.266"	"33.412"	"28.366"	"25.585"	"25.46"	"25.918"	"26.805"	"23.141"	"20.918"
"1995"	"20.326"	"24.902"	"28.017"	"31.275"	"31.869"	"31.365"	"27.208"	"27.293"	"26.945"	"26.738"	"24.71"	"23.82"
"1996"	"24.745"	"26.282"	"30.419"	"31.894"	"33.63"	"30.093"	"27.362"	"25.974"	"26.39"	"25.633"	"23.237"	"21.908"
"1997"	"20.841"	"23.189"	"28.51"	"29.311"	"31.839"	"28.706"	"26.614"	"26.078"	"25.963"	"26.202"	"25.964"	"23.672"
"1998"	"23.288"	"24.673"	"28.849"	"32.774"	"34.455"	"31.268"	"27.546"	"26.87"	"26.367"	"26.747"	"24.188"	"21.002"
"1999"	"21.42"	"25.869"	"29.369"	"32.691"	"31.867"	"27.901"	"26.475"	"25.881"	"25.413"	"25.933"	"23.605"	"21.309"
"2000"	"22.936"	"24.542"	"27.925"	"33.081"	"31.828"	"28.088"	"25.943"	"26.747"	"26.894"	"27.748"	"24.742"	"21.804"
"2001"	"23.119"	"25.996"	"29.214"	"31.086"	"33.301"	"28.211"	"26.655"	"25.846"	"27.596"	"26.258"	"24.305"	"23.52"
"2002"	"22.437"	"26.511"	"29.369"	"32.779"	"33.29"	"28.683"	"27.242"	"24.965"	"25.917"	"26.912"	"23.664"	"22.715"
