
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"11.078"	"10.908"	"10.896"	"15.769"	"16.736"	"21.56"	"25.869"	"24.204"	"24.993"	"17.356"	"13.114"	"11.231"
"1992"	"11.062"	"9.813"	"10.805"	"15.787"	"17.076"	"23.313"	"27.555"	"24.204"	"23.959"	"16.662"	"13.121"	"10.921"
"1993"	"11.14"	"10.781"	"9.911"	"15.771"	"17.431"	"23.338"	"25.869"	"24.204"	"23.96"	"16.662"	"13.114"	"10.706"
"1994"	"11.14"	"10.439"	"11.358"	"14.944"	"17"	"21.218"	"25.869"	"24.204"	"23.999"	"16.665"	"13.176"	"10.695"
"1995"	"9.743"	"10.517"	"10.016"	"15.833"	"15.886"	"24.776"	"25.869"	"25.899"	"23.943"	"16.662"	"13.57"	"12.121"
"1996"	"12.69"	"11.102"	"11.352"	"15.833"	"17.412"	"23.424"	"25.869"	"24.204"	"23.96"	"16.662"	"13.114"	"11.207"
"1997"	"10.381"	"9.626"	"10.538"	"13.879"	"15.89"	"22.211"	"25.884"	"24.875"	"23.96"	"16.685"	"14.973"	"12.139"
"1998"	"11.403"	"10.933"	"10.974"	"16.684"	"17.468"	"24.502"	"27.254"	"25.854"	"23.944"	"16.664"	"13.133"	"11.207"
"1999"	"10.571"	"11.151"	"11.017"	"16.174"	"16.265"	"20.668"	"25.869"	"24.204"	"23.943"	"16.662"	"13.114"	"11.231"
"2000"	"11.228"	"9.999"	"9.923"	"16.848"	"15.933"	"20.761"	"25.869"	"25.573"	"23.944"	"17.631"	"13.903"	"11.231"
"2001"	"11.125"	"11.125"	"10.538"	"15.771"	"16.929"	"21.062"	"25.869"	"24.204"	"25.559"	"16.731"	"13.114"	"11.892"
"2002"	"11.125"	"10.953"	"11.217"	"16.966"	"17.054"	"21.924"	"25.869"	"24.204"	"23.96"	"16.737"	"13.114"	"11.702"
