
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.976"	"23.63"	"25.966"	"27.619"	"29.592"	"26.733"	"24.959"	"24.574"	"25.973"	"26.183"	"25.028"	"21.905"
"1992"	"21.372"	"21.785"	"25.818"	"27.708"	"29.562"	"27.977"	"26.308"	"24.743"	"25.873"	"25.897"	"24.916"	"22.019"
"1993"	"22.446"	"22.229"	"24.683"	"27.705"	"29.576"	"27.847"	"25.365"	"24.938"	"24.919"	"26.065"	"24.597"	"21.366"
"1994"	"22.099"	"22.35"	"26.738"	"26.845"	"29.094"	"26.038"	"24.497"	"24.805"	"24.898"	"26.127"	"24.103"	"21.458"
"1995"	"20.055"	"23.155"	"25.325"	"27.816"	"28.327"	"28.923"	"26.014"	"26.064"	"25.494"	"26.06"	"24.373"	"23.364"
"1996"	"23.273"	"23.983"	"26.949"	"27.876"	"29.164"	"27.823"	"25.74"	"24.807"	"25.281"	"25.004"	"23.645"	"22.674"
"1997"	"20.891"	"21.613"	"25.827"	"26.434"	"28.304"	"26.711"	"25.796"	"24.788"	"25.244"	"26.333"	"26.75"	"24.359"
"1998"	"22.761"	"22.737"	"25.614"	"28.935"	"30.596"	"28.117"	"25.884"	"25.808"	"25.563"	"26.022"	"24.778"	"21.719"
"1999"	"20.862"	"24.236"	"26.471"	"28.791"	"28.28"	"26.157"	"25.139"	"24.855"	"24.386"	"25.483"	"24.044"	"22.164"
"2000"	"22.486"	"22.547"	"24.634"	"29.103"	"28.218"	"26.375"	"24.889"	"25.417"	"25.583"	"26.855"	"24.572"	"21.839"
"2001"	"22.708"	"23.773"	"25.184"	"28.325"	"28.982"	"26.462"	"24.751"	"24.647"	"25.878"	"25.76"	"24.5"	"23.114"
"2002"	"20.893"	"24.396"	"26.08"	"29.312"	"29.64"	"26.833"	"25.849"	"24.541"	"25.418"	"26.998"	"24.646"	"23.115"
