
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"14.314"	"15.14"	"16.85"	"27.375"	"23.08"	"27.939"	"26.645"	"25.373"	"25.607"	"22.372"	"18.397"	"16.477"
"1992"	"14.441"	"14.145"	"16.846"	"27.293"	"23.057"	"28.94"	"27.419"	"25.373"	"25.573"	"22.455"	"18.412"	"16.513"
"1993"	"14.386"	"15.672"	"16.367"	"27.327"	"23.087"	"28.856"	"26.714"	"25.624"	"25.584"	"22.411"	"18.465"	"16.378"
"1994"	"14.661"	"15.126"	"17.494"	"26.671"	"23.055"	"27.232"	"26.6"	"25.373"	"25.584"	"22.455"	"18.482"	"15.725"
"1995"	"13.526"	"15.292"	"16.385"	"27.297"	"23.458"	"30.299"	"26.631"	"26.982"	"25.584"	"22.607"	"18.402"	"17.18"
"1996"	"14.86"	"15.868"	"17.993"	"27.332"	"23.242"	"28.833"	"26.692"	"25.373"	"25.584"	"22.455"	"18.351"	"16.279"
"1997"	"13.901"	"14.159"	"16.83"	"25.881"	"23.047"	"27.406"	"26.699"	"25.377"	"25.501"	"22.473"	"20.439"	"17.34"
"1998"	"14.444"	"15.4"	"16.865"	"28.431"	"24.524"	"29.048"	"26.849"	"25.943"	"25.573"	"22.484"	"18.412"	"16.408"
"1999"	"13.739"	"16.114"	"16.915"	"27.355"	"23.047"	"27.191"	"26.645"	"25.374"	"25.582"	"22.608"	"18.587"	"16.278"
"2000"	"14.496"	"14.57"	"16.265"	"28.473"	"23.047"	"27.111"	"26.698"	"25.497"	"25.583"	"23.578"	"18.729"	"16.419"
"2001"	"14.367"	"15.639"	"16.83"	"27.302"	"23.077"	"27.008"	"26.5"	"25.373"	"25.728"	"22.573"	"18.412"	"16.402"
"2002"	"14.411"	"16.056"	"17.664"	"28.203"	"23.273"	"27.221"	"26.765"	"25.331"	"25.566"	"23.329"	"18.446"	"16.544"
