
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"23.429"	"24.888"	"27.173"	"28.886"	"29.816"	"26.275"	"24.33"	"25.084"	"26.084"	"26.604"	"25.38"	"23.098"
"1992"	"22.416"	"23.014"	"27.001"	"28.78"	"29.74"	"27.496"	"25.939"	"24.974"	"26.01"	"26.578"	"25.614"	"22.998"
"1993"	"23.767"	"24.057"	"26.128"	"29.204"	"29.977"	"27.854"	"25.3"	"24.944"	"25.089"	"25.91"	"25.717"	"22.652"
"1994"	"23.489"	"24.088"	"28.133"	"28.312"	"29.839"	"26.134"	"24.727"	"25.23"	"25.959"	"25.977"	"24.773"	"22.627"
"1995"	"21.434"	"24.246"	"26.821"	"29.424"	"28.679"	"28.708"	"25.496"	"26.309"	"25.956"	"25.951"	"25.043"	"24.28"
"1996"	"24.249"	"25.398"	"28.428"	"29.222"	"30.113"	"27.744"	"25.49"	"25.194"	"25.405"	"25.458"	"24.889"	"23.679"
"1997"	"22.438"	"23.347"	"27.408"	"27.772"	"29.343"	"27.081"	"25.566"	"24.936"	"25.656"	"26.788"	"26.835"	"25.506"
"1998"	"24.247"	"24.436"	"27.597"	"30.186"	"30.715"	"28.104"	"25.723"	"25.738"	"25.72"	"26.074"	"25.239"	"22.828"
"1999"	"22.269"	"25.798"	"28.031"	"29.763"	"28.862"	"25.922"	"24.977"	"25.017"	"24.888"	"25.99"	"24.871"	"23.305"
"2000"	"23.987"	"24.12"	"26.562"	"29.886"	"28.826"	"26.15"	"24.68"	"25.254"	"25.803"	"26.721"	"25.197"	"23.051"
"2001"	"23.943"	"25.367"	"26.688"	"29.383"	"29.678"	"26.549"	"24.91"	"24.784"	"25.984"	"25.882"	"25.576"	"23.929"
"2002"	"22.718"	"25.771"	"28.162"	"30.174"	"30.046"	"26.801"	"25.604"	"24.736"	"25.72"	"26.974"	"25.25"	"24.181"
