
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"15.276"	"16.17"	"17.72"	"24.317"	"23.093"	"27.36"	"26.175"	"24.97"	"24.609"	"21.558"	"17.885"	"17.778"
"1992"	"15.196"	"15.017"	"17.619"	"24.368"	"23.108"	"28.357"	"26.748"	"24.97"	"24.457"	"21.558"	"17.886"	"17.778"
"1993"	"15.221"	"16.456"	"17.428"	"24.323"	"23.273"	"28.455"	"26.183"	"24.97"	"24.457"	"21.558"	"17.886"	"17.57"
"1994"	"15.308"	"16.062"	"18.073"	"23.937"	"23.313"	"26.851"	"26.059"	"24.97"	"24.606"	"21.579"	"17.915"	"17.4"
"1995"	"14.253"	"16.159"	"17.531"	"24.301"	"22.858"	"29.256"	"26.17"	"26.553"	"24.426"	"21.561"	"18.222"	"18.509"
"1996"	"15.715"	"16.623"	"18.791"	"24.398"	"23.512"	"28.55"	"26.13"	"24.97"	"24.462"	"21.558"	"17.82"	"17.747"
"1997"	"14.949"	"15.04"	"17.613"	"22.89"	"23.02"	"27.466"	"26.243"	"25.026"	"24.432"	"21.846"	"19.282"	"18.943"
"1998"	"15.475"	"16.552"	"17.803"	"25.625"	"24.619"	"29.114"	"26.707"	"24.972"	"24.427"	"21.558"	"17.899"	"17.75"
"1999"	"14.447"	"17.127"	"17.945"	"24.334"	"23.02"	"26.88"	"26.197"	"24.97"	"24.37"	"21.59"	"17.933"	"17.746"
"2000"	"15.341"	"15.612"	"17.28"	"24.543"	"23.02"	"26.512"	"26.163"	"24.989"	"24.398"	"22.021"	"18.023"	"17.749"
"2001"	"15.218"	"16.749"	"17.638"	"24.296"	"23.384"	"26.853"	"26.156"	"24.97"	"24.471"	"21.591"	"17.909"	"17.902"
"2002"	"15.296"	"17.035"	"18.667"	"24.633"	"23.191"	"26.851"	"26.252"	"24.926"	"24.423"	"21.745"	"17.881"	"17.725"
