
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"23.362"	"24.609"	"26.502"	"28.287"	"29.725"	"26.686"	"25.014"	"25.096"	"26.143"	"26.761"	"25.995"	"23.351"
"1992"	"22.543"	"22.708"	"26.266"	"27.963"	"29.524"	"27.891"	"26.357"	"25.178"	"26.241"	"26.608"	"26.154"	"23.4"
"1993"	"23.709"	"23.479"	"25.53"	"28.21"	"29.698"	"27.895"	"25.612"	"25.31"	"25.246"	"26.463"	"26.032"	"22.977"
"1994"	"23.454"	"23.502"	"27.395"	"27.606"	"29.403"	"26.204"	"24.997"	"25.387"	"25.665"	"26.564"	"25.343"	"22.977"
"1995"	"21.511"	"24.062"	"26.105"	"28.498"	"28.615"	"28.835"	"26.056"	"26.497"	"25.892"	"26.438"	"25.388"	"24.64"
"1996"	"24.307"	"24.981"	"27.614"	"28.331"	"29.491"	"27.838"	"25.838"	"25.292"	"25.575"	"25.679"	"25.032"	"24.065"
"1997"	"22.296"	"22.736"	"26.609"	"27.024"	"28.84"	"27.053"	"26.009"	"25.17"	"25.706"	"27.096"	"27.58"	"25.863"
"1998"	"24.117"	"23.824"	"26.61"	"29.401"	"30.654"	"28.194"	"26.093"	"26.145"	"25.879"	"26.456"	"25.775"	"23.187"
"1999"	"22.152"	"25.381"	"27.26"	"29.07"	"28.558"	"26.18"	"25.369"	"25.284"	"24.867"	"26.182"	"25.225"	"23.657"
"2000"	"23.84"	"23.616"	"25.589"	"29.325"	"28.555"	"26.473"	"25.087"	"25.666"	"25.925"	"27.221"	"25.609"	"23.298"
"2001"	"23.956"	"24.822"	"25.834"	"28.788"	"29.306"	"26.718"	"25.11"	"25.066"	"26.103"	"26.287"	"25.831"	"24.397"
"2002"	"22.354"	"25.452"	"27.135"	"29.578"	"29.849"	"26.985"	"26.032"	"25.05"	"25.822"	"27.494"	"25.77"	"24.512"
