
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"15.659"	"16.715"	"18.559"	"26.812"	"24.451"	"28.884"	"27.378"	"26.159"	"25.967"	"23.134"	"19.229"	"18.277"
"1992"	"15.745"	"15.671"	"18.54"	"26.811"	"24.482"	"29.839"	"27.775"	"26.159"	"25.964"	"23.185"	"19.232"	"18.277"
"1993"	"15.783"	"17.181"	"18.269"	"26.789"	"24.487"	"29.844"	"27.381"	"26.233"	"25.964"	"23.128"	"19.248"	"18.159"
"1994"	"15.893"	"16.696"	"18.993"	"26.399"	"24.5"	"28.162"	"27.311"	"26.159"	"25.966"	"23.21"	"19.253"	"17.65"
"1995"	"14.826"	"16.83"	"18.318"	"26.784"	"24.66"	"30.697"	"27.359"	"27.807"	"25.964"	"23.195"	"19.254"	"18.963"
"1996"	"16.075"	"17.364"	"19.738"	"26.843"	"24.691"	"29.716"	"27.38"	"26.159"	"25.964"	"23.157"	"19.119"	"18.153"
"1997"	"15.46"	"15.682"	"18.539"	"25.263"	"24.448"	"28.418"	"27.397"	"26.159"	"25.941"	"23.529"	"20.91"	"19.251"
"1998"	"15.789"	"17.069"	"18.577"	"28.138"	"26.041"	"30.099"	"27.593"	"26.263"	"25.964"	"23.157"	"19.232"	"18.197"
"1999"	"14.906"	"17.771"	"18.718"	"26.812"	"24.448"	"28.21"	"27.378"	"26.159"	"25.932"	"23.253"	"19.367"	"18.089"
"2000"	"15.766"	"16.193"	"18.137"	"27.36"	"24.448"	"28.004"	"27.381"	"26.178"	"25.961"	"23.991"	"19.333"	"18.148"
"2001"	"15.721"	"17.215"	"18.539"	"26.806"	"24.518"	"28.148"	"27.263"	"26.159"	"25.999"	"23.26"	"19.242"	"18.211"
"2002"	"15.773"	"17.68"	"19.589"	"27.175"	"24.602"	"28.111"	"27.468"	"26.036"	"25.841"	"23.571"	"19.253"	"18.248"
