
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"23.214"	"25.313"	"28.378"	"29.905"	"31.274"	"26.864"	"24.876"	"25.707"	"26.926"	"26.806"	"24.66"	"22.412"
"1992"	"21.701"	"23.116"	"28.069"	"30.456"	"31.496"	"28.503"	"26.904"	"25.51"	"26.477"	"26.882"	"24.669"	"22.016"
"1993"	"23.469"	"24.01"	"26.832"	"30.726"	"31.613"	"29.148"	"26.128"	"25.371"	"25.654"	"25.889"	"24.809"	"21.316"
"1994"	"22.973"	"24.303"	"29.181"	"29.17"	"31.422"	"27.022"	"25.255"	"25.723"	"26.556"	"25.913"	"23.694"	"21.584"
"1995"	"20.589"	"24.424"	"27.71"	"30.715"	"29.587"	"30.133"	"26.287"	"27.125"	"26.514"	"25.957"	"24.565"	"23.702"
"1996"	"24.212"	"25.69"	"29.471"	"30.509"	"31.835"	"28.958"	"26.448"	"25.805"	"25.902"	"25.446"	"24.147"	"22.662"
"1997"	"22.001"	"23.712"	"28.226"	"28.843"	"30.511"	"28.142"	"26.351"	"25.57"	"26.025"	"26.615"	"26.354"	"24.706"
"1998"	"24.108"	"25.049"	"28.551"	"31.571"	"32.309"	"29.289"	"26.69"	"26.284"	"26.197"	"26.181"	"24.668"	"21.803"
"1999"	"21.969"	"25.911"	"29.007"	"31.347"	"29.987"	"26.929"	"25.748"	"25.526"	"25.234"	"25.937"	"24.166"	"22.437"
"2000"	"23.599"	"24.67"	"27.427"	"31.502"	"30.009"	"26.82"	"25.356"	"25.81"	"26.123"	"27.007"	"24.59"	"22.134"
"2001"	"23.664"	"25.779"	"27.927"	"30.624"	"31.24"	"27.287"	"25.694"	"25.299"	"26.574"	"25.998"	"24.831"	"23.099"
"2002"	"22.37"	"25.928"	"28.891"	"31.759"	"31.438"	"27.62"	"26.533"	"25.168"	"26.171"	"26.958"	"24.305"	"23.205"
