
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"12.58"	"12.909"	"13.699"	"20.822"	"19.616"	"25.24"	"24.945"	"23.477"	"23.706"	"19.248"	"14.993"	"13.923"
"1992"	"12.439"	"11.674"	"13.546"	"20.819"	"19.602"	"26.68"	"26.017"	"23.477"	"23.272"	"19.237"	"15.007"	"13.902"
"1993"	"12.53"	"13.008"	"13.155"	"20.816"	"19.878"	"26.624"	"24.903"	"23.514"	"23.272"	"19.21"	"15"	"13.5"
"1994"	"12.571"	"12.672"	"14.264"	"20.106"	"19.716"	"25.092"	"24.771"	"23.477"	"23.436"	"19.237"	"15.029"	"13.47"
"1995"	"11.39"	"12.727"	"13.255"	"20.781"	"18.924"	"28.134"	"24.794"	"25.067"	"23.227"	"19.237"	"15.379"	"14.815"
"1996"	"13.423"	"13.226"	"14.55"	"20.835"	"20.221"	"26.807"	"24.781"	"23.477"	"23.272"	"19.226"	"14.992"	"13.907"
"1997"	"12.004"	"11.685"	"13.464"	"19.037"	"19.256"	"25.98"	"24.946"	"23.768"	"23.16"	"19.289"	"16.531"	"15.141"
"1998"	"12.856"	"13.168"	"13.834"	"21.716"	"20.666"	"27.556"	"25.812"	"23.885"	"23.243"	"19.237"	"15.023"	"13.935"
"1999"	"11.816"	"13.636"	"13.928"	"20.893"	"19.256"	"24.788"	"24.926"	"23.503"	"23.198"	"19.237"	"15.029"	"13.855"
"2000"	"12.712"	"12.2"	"12.865"	"21.417"	"19.246"	"24.427"	"24.857"	"23.922"	"23.222"	"19.8"	"15.371"	"13.855"
"2001"	"12.534"	"13.482"	"13.464"	"20.743"	"19.856"	"24.92"	"24.909"	"23.489"	"23.768"	"19.245"	"15.025"	"14.258"
"2002"	"12.588"	"13.444"	"14.332"	"21.764"	"19.735"	"25.103"	"24.971"	"23.477"	"23.285"	"19.886"	"15"	"13.856"
