
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.572"	"26.176"	"29.526"	"32.011"	"35.899"	"30.501"	"27.778"	"26.429"	"28.324"	"27.263"	"23.818"	"21.341"
"1992"	"22.426"	"24.455"	"30.384"	"32.929"	"35.103"	"33.19"	"29.379"	"26.346"	"27.167"	"26.966"	"23.696"	"20.862"
"1993"	"22.856"	"24.289"	"27.636"	"32.933"	"35.963"	"33.076"	"27.931"	"26.841"	"27.131"	"27.067"	"23.327"	"19.95"
"1994"	"22.501"	"24.28"	"29.705"	"31.201"	"35.816"	"29.947"	"26.202"	"25.938"	"26.952"	"27.127"	"23.564"	"20.928"
"1995"	"19.519"	"24.49"	"27.9"	"31.859"	"33.616"	"33.844"	"28.037"	"27.759"	"27.753"	"27.27"	"24.42"	"23.599"
"1996"	"24.079"	"25.966"	"30.341"	"32.563"	"35.878"	"32.726"	"28.578"	"27.032"	"27.588"	"26.2"	"23.612"	"21.014"
"1997"	"20.355"	"23.395"	"29.01"	"30.113"	"33.947"	"31.013"	"27.649"	"27.266"	"27.122"	"26.545"	"25.809"	"21.974"
"1998"	"22.504"	"24.192"	"27.703"	"32.83"	"35.79"	"33.309"	"28.64"	"27.825"	"27.509"	"27.706"	"24.161"	"20.587"
"1999"	"20.769"	"25.692"	"29.445"	"33.986"	"34.307"	"30.181"	"27.583"	"26.701"	"26.458"	"26.737"	"24.011"	"20.883"
"2000"	"22.546"	"24.165"	"28.164"	"34.236"	"33.829"	"29.658"	"26.971"	"27.703"	"27.559"	"28.281"	"25.23"	"21.849"
"2001"	"22.577"	"26.33"	"29.591"	"31.543"	"35.503"	"29.759"	"27.68"	"26.842"	"28.748"	"27.126"	"24.958"	"23.086"
"2002"	"22.097"	"26.274"	"29.643"	"33.696"	"35.793"	"30.925"	"28.577"	"25.892"	"27.029"	"27.423"	"24.238"	"23.348"
