
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"13.596"	"13.375"	"12.317"	"13.698"	"15.689"	"14.233"	"30.981"	"29.084"	"28.451"	"19.518"	"15.409"	"13.761"
"1992"	"13.253"	"12.505"	"12.404"	"13.773"	"15.849"	"15.192"	"33.349"	"29.085"	"27.892"	"19.122"	"15.876"	"13.381"
"1993"	"14.075"	"12.567"	"11.198"	"13.804"	"16.122"	"15.244"	"30.984"	"29.094"	"27.892"	"19.122"	"15.409"	"12.859"
"1994"	"14.321"	"12.527"	"12.698"	"12.981"	"16.137"	"12.971"	"29.522"	"28.995"	"27.892"	"19.211"	"15.491"	"13.643"
"1995"	"11.906"	"12.527"	"11.191"	"13.329"	"14.363"	"16.442"	"30.981"	"29.624"	"27.892"	"19.255"	"15.491"	"14.533"
"1996"	"15.373"	"13.253"	"12.68"	"13.698"	"16.713"	"15.779"	"31.697"	"29.084"	"27.892"	"19.16"	"15.491"	"13.633"
"1997"	"12.762"	"11.925"	"11.88"	"11.91"	"14.394"	"14.92"	"30.981"	"29.402"	"27.901"	"19.18"	"16.675"	"14.092"
"1998"	"14.198"	"12.568"	"11.342"	"13.944"	"15.967"	"15.86"	"31.485"	"30.945"	"27.892"	"19.792"	"15.752"	"13.739"
"1999"	"13.252"	"12.759"	"12.423"	"14.681"	"15.026"	"13.044"	"30.981"	"29.084"	"27.892"	"19.118"	"15.491"	"13.723"
"2000"	"14.186"	"12.193"	"11.77"	"14.601"	"14.372"	"12.867"	"30.981"	"30.317"	"27.892"	"20.379"	"16.422"	"13.705"
"2001"	"13.661"	"13.276"	"11.892"	"13.382"	"15.835"	"12.625"	"30.981"	"28.995"	"29.62"	"19.18"	"16.28"	"14.461"
"2002"	"13.661"	"12.846"	"12.661"	"14.515"	"16.106"	"14.167"	"31.885"	"29.094"	"27.892"	"19.245"	"15.491"	"14.694"
