
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.565"	"25.757"	"29.067"	"31.512"	"34.425"	"29.295"	"27.037"	"26.061"	"27.816"	"27.243"	"23.917"	"21.199"
"1992"	"22.696"	"24.029"	"29.844"	"31.9"	"33.98"	"32.226"	"28.371"	"25.864"	"26.213"	"26.578"	"23.451"	"20.927"
"1993"	"22.858"	"23.778"	"27.299"	"32.504"	"34.723"	"32.671"	"27.215"	"26.299"	"26.533"	"26.944"	"23.578"	"20.107"
"1994"	"22.142"	"24.311"	"29.641"	"30.462"	"34.413"	"28.986"	"25.68"	"25.466"	"26.339"	"27.224"	"23.391"	"20.962"
"1995"	"19.594"	"24.483"	"27.569"	"31.791"	"33.192"	"32.773"	"27.738"	"27.527"	"27.185"	"27.054"	"24.679"	"24.196"
"1996"	"24.397"	"25.833"	"30.445"	"32.793"	"34.456"	"30.554"	"28.192"	"26.636"	"26.668"	"25.75"	"22.959"	"21.26"
"1997"	"20.016"	"22.526"	"28.299"	"29.366"	"32.458"	"29.21"	"26.682"	"26.539"	"26.019"	"26.024"	"25.875"	"23.024"
"1998"	"22.468"	"23.969"	"28.41"	"33.128"	"35.478"	"32.797"	"28.102"	"27.43"	"26.593"	"27.247"	"24.044"	"20.697"
"1999"	"20.94"	"25.538"	"29.072"	"33.153"	"32.953"	"28.803"	"26.928"	"26.257"	"25.71"	"26.062"	"23.446"	"20.722"
"2000"	"22.449"	"24.004"	"27.783"	"33.725"	"32.795"	"29.248"	"26.333"	"27.506"	"27.536"	"28.246"	"25.091"	"21.888"
"2001"	"22.621"	"25.833"	"29.357"	"30.992"	"34.279"	"29.131"	"27.285"	"26.324"	"28.324"	"26.54"	"24.155"	"23.976"
"2002"	"22.136"	"26.647"	"29.186"	"33.034"	"34.182"	"29.671"	"27.654"	"25.011"	"25.91"	"26.974"	"23.634"	"22.697"
