
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"11.739"	"11.666"	"11.177"	"14.815"	"16.241"	"19.259"	"28.066"	"26.264"	"26.202"	"17.768"	"13.889"	"12.161"
"1992"	"11.751"	"10.743"	"11.263"	"14.802"	"16.708"	"20.747"	"29.876"	"26.264"	"25.658"	"16.973"	"14.08"	"11.587"
"1993"	"12.143"	"11.261"	"10.162"	"14.869"	"17.134"	"20.797"	"28.066"	"26.277"	"25.658"	"17.005"	"13.889"	"11.449"
"1994"	"12.163"	"11.054"	"11.642"	"14.063"	"17.094"	"18.284"	"27.506"	"26.264"	"25.658"	"16.973"	"13.914"	"11.646"
"1995"	"10.551"	"11.079"	"10.25"	"14.689"	"15.544"	"22.141"	"28.066"	"27.566"	"25.658"	"17.044"	"14.125"	"12.843"
"1996"	"13.56"	"11.765"	"11.661"	"14.802"	"17.126"	"21.063"	"28.225"	"26.264"	"25.658"	"16.872"	"13.889"	"12.055"
"1997"	"11.13"	"10.349"	"10.856"	"13.086"	"15.235"	"19.444"	"28.066"	"26.808"	"25.658"	"17.017"	"15.529"	"12.537"
"1998"	"12.217"	"11.367"	"10.851"	"15.598"	"17.134"	"22.078"	"29.204"	"28.041"	"25.658"	"17.035"	"13.934"	"12.062"
"1999"	"11.575"	"11.564"	"11.276"	"15.604"	"15.944"	"18.092"	"28.066"	"26.264"	"25.658"	"16.865"	"13.91"	"12.071"
"2000"	"12.117"	"10.55"	"10.448"	"15.792"	"15.255"	"18.223"	"28.066"	"27.859"	"25.658"	"17.918"	"14.864"	"12.075"
"2001"	"11.944"	"11.844"	"10.856"	"14.8"	"16.536"	"18.008"	"28.066"	"26.241"	"27.329"	"17.017"	"13.982"	"12.795"
"2002"	"11.944"	"11.445"	"11.533"	"15.629"	"16.732"	"19.47"	"28.115"	"26.264"	"25.658"	"17.011"	"13.889"	"12.645"
