
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"21.9"	"26.218"	"29.472"	"31.922"	"35.114"	"29.627"	"27.303"	"26.368"	"28.051"	"26.975"	"23.659"	"21.242"
"1992"	"22.563"	"24.421"	"30.186"	"32.345"	"34.633"	"32.583"	"28.779"	"26.064"	"26.74"	"26.562"	"23.507"	"20.622"
"1993"	"22.856"	"24.233"	"28.004"	"32.776"	"35.333"	"32.854"	"27.525"	"26.659"	"26.943"	"26.922"	"23.402"	"19.917"
"1994"	"22.43"	"24.671"	"29.835"	"31.051"	"35.228"	"29.419"	"25.955"	"25.754"	"26.749"	"27.066"	"23.327"	"20.852"
"1995"	"19.777"	"24.639"	"28.065"	"32.013"	"33.321"	"33.108"	"27.804"	"27.753"	"27.496"	"26.879"	"24.454"	"23.823"
"1996"	"24.386"	"25.954"	"30.364"	"32.643"	"35.348"	"31.316"	"28.338"	"26.922"	"27.138"	"25.866"	"23.298"	"21.107"
"1997"	"20.545"	"23.397"	"28.804"	"29.841"	"33.428"	"30.343"	"27.268"	"27"	"26.71"	"26.287"	"25.805"	"22.807"
"1998"	"23.012"	"24.665"	"28.52"	"33.15"	"35.695"	"33.001"	"28.438"	"27.587"	"27.074"	"27.296"	"24.127"	"20.663"
"1999"	"21.151"	"25.861"	"29.496"	"33.65"	"33.568"	"29.445"	"27.26"	"26.537"	"26.18"	"26.364"	"23.762"	"20.968"
"2000"	"22.798"	"24.545"	"28.256"	"33.98"	"33.323"	"29.255"	"26.648"	"27.502"	"27.505"	"28.087"	"25.087"	"21.873"
"2001"	"22.863"	"26.361"	"29.661"	"31.424"	"35.057"	"29.414"	"27.54"	"26.595"	"28.532"	"26.685"	"24.656"	"23.387"
"2002"	"22.433"	"26.582"	"29.671"	"33.487"	"35.01"	"30.206"	"28.131"	"25.556"	"26.62"	"27.048"	"23.801"	"22.951"
