
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1991"	"13.169"	"13.064"	"12.392"	"14.882"	"16.811"	"17.333"	"29.106"	"27.427"	"27.081"	"18.957"	"14.901"	"13.17"
"1992"	"12.793"	"12.129"	"12.346"	"14.866"	"17.193"	"18.852"	"30.993"	"27.446"	"26.75"	"18.626"	"15.347"	"12.42"
"1993"	"13.386"	"12.369"	"11.312"	"14.961"	"17.381"	"18.958"	"29.106"	"27.517"	"26.75"	"18.621"	"14.893"	"12.276"
"1994"	"13.574"	"12.267"	"12.764"	"14.331"	"17.355"	"16.459"	"28.093"	"27.423"	"26.77"	"18.657"	"14.993"	"12.881"
"1995"	"11.474"	"12.258"	"11.324"	"14.787"	"15.384"	"20.294"	"29.106"	"28.538"	"26.75"	"18.562"	"15.113"	"13.938"
"1996"	"14.851"	"12.895"	"12.732"	"14.884"	"18.038"	"19.234"	"29.207"	"27.446"	"26.75"	"18.618"	"14.954"	"13.049"
"1997"	"12.265"	"11.729"	"11.929"	"13.008"	"15.538"	"18.446"	"29.108"	"27.994"	"26.752"	"18.629"	"16.434"	"13.815"
"1998"	"13.651"	"12.427"	"11.809"	"15.382"	"17.286"	"19.841"	"30.234"	"29.162"	"26.75"	"18.846"	"15.119"	"13.042"
"1999"	"12.693"	"12.587"	"12.494"	"15.717"	"16.168"	"16.6"	"29.106"	"27.463"	"26.75"	"18.616"	"14.988"	"13.084"
"2000"	"13.568"	"11.857"	"11.671"	"15.84"	"15.559"	"16.414"	"29.106"	"28.525"	"26.75"	"19.741"	"15.911"	"13.084"
"2001"	"13.15"	"13.065"	"11.929"	"14.833"	"17.065"	"16.324"	"29.106"	"27.368"	"28.449"	"18.627"	"15.443"	"13.789"
"2002"	"13.15"	"12.42"	"12.717"	"15.887"	"17.317"	"17.711"	"29.615"	"27.46"	"26.75"	"18.588"	"14.954"	"13.83"
