,2012,2013,2014,2015,2016,2017
AHMEDNAGAR,3.5,0,0.1,0.4,0,0
AKOLA ,0.7,0.7,6.7,44.4,0,0
AMRAOTI,6.4,2,1.3,17.2,0,0
AURANGABAD,6.8,0.1,7.6,22.7,0,0
BEED,0,4.6,10.7,38.3,2.1,0
BHANDARA,0,2.3,5.8,32.1,3.3,0
BULDHANA,0,0,3.8,39.8,0,0
CHANDRAPUR,2.3,4.6,1.1,26.8,17.6,0
DHULE,0,0.8,0,0,0,0
GADCHIROLI,0,3.2,0.4,29.3,11.9,0
GONDIA,0,4.3,6.9,26.8,7.3,0
HINGOLI,0,14.6,8.3,39.8,13.6,0
JALGAON,0,0.7,0.2,12,0.1,0
JALNA,0,0,16.7,22.3,0.2,0
KOLHAPUR,37.2,12.9,22.3,8.3,4.5,0.1
LATUR,5.6,15.2,12.6,43.4,10.9,0
MUMBAI CITY,0,0,0,1.4,0,0
MUMBAI SUBURBAN,0,0,0,0,0,0
NAGPUR,1.7,0.7,2.8,32.5,3.6,0
NANDED,0,15.5,10.9,55.5,3.2,0
NANDURBAR,0,3.8,0,0,0,0
NASHIK,0,3.9,0,7.9,0,0
OSMANABAD,10.8,7.9,23.4,42.3,5.6,0
PARBHANI,2,9.8,5.1,55.4,1.1,0
PUNE,9.6,0,4.3,13.3,0.5,0
RAIGAD,0,0,0,1.6,0,0
RATNAGIRI,0,0,0,0,1,0
SANGLI,18.3,12.5,27,18.6,3.3,4.6
SATARA,23.8,4.4,12.4,10.7,1.1,4.3
SHOLAPUR,31.4,20.8,17,10.8,5.4,0.1
SINDHUDURG,0.7,0,1.4,3.9,0,0
THANE,0,0,0.1,0,0,0
WARDHA,2,7.5,0.3,18.2,0.6,0
WASHIM,10.8,3.8,7.2,39.7,0,0
YEOTMAL,0,2.8,1.6,19,2.6,0
