,2012,2013,2014,2015,2016,2017
AHMEDNAGAR,0,1,1.7,0,0.1,0
AKOLA ,0,18.1,47.5,1,0.1,0
AMRAOTI,0,4.3,24.7,8.1,6.7,0
AURANGABAD,0,0.8,5.5,2.5,0,0
BEED,0,0,1.4,0,6.7,0
BHANDARA,0,15.4,33.9,2.4,5.9,0
BULDHANA,0,2.7,26.3,3,2.3,0
CHANDRAPUR,0,25.7,5.7,2.2,1.7,0
DHULE,0,20.5,6.5,2,0,0
GADCHIROLI,0,14,2.8,0,1,0
GONDIA,4.2,22.8,35.4,1.4,3.2,0.5
HINGOLI,0,6.8,24,7.5,0,0
JALGAON,0,22.2,31.1,5.8,0,0
JALNA,0,0,8.8,5.1,0,0
KOLHAPUR,0,4.9,0,0,0,0
LATUR,0,17.4,20.7,0,9.8,0
MUMBAI CITY,0,0,7.8,0,0,0
MUMBAI SUBURBAN,0,0,0,0,0,0
NAGPUR,7,8.1,26.3,15.1,17.1,0
NANDED,0,33.2,19,0,0,0
NANDURBAR,0,4,2.6,1.7,0,0
NASHIK,0,5.1,5.7,0,0,0
OSMANABAD,0,0.6,18.6,0,5.9,0
PARBHANI,0.2,14.2,20.5,0.3,0.3,0
PUNE,0,0.3,1.2,0.6,0.2,0
RAIGAD,0,0,1,0,0,0
RATNAGIRI,0,0.2,0,0,0.4,0
SANGLI,0,0.6,0,0,3.3,0
SATARA,0,1.4,0,0,3.6,0
SHOLAPUR,0,0.9,10.1,0,0.7,0
SINDHUDURG,0,21.9,0,0,0,0
THANE,0,0,2.8,0,4.7,0
WARDHA,0.5,16.3,19.7,9.6,11,0
WASHIM,0,23.7,5.4,4.3,4.6,0
YEOTMAL,0,7.7,9.3,3.9,4.7,0
