,2012,2013,2014,2015,2016,2017
AHMEDNAGAR,0,0,32.7,69.9,5.5,0
AKOLA ,0,1.9,34.4,122.3,1,0.1
AMRAOTI,0,6.7,29,82.7,6.6,0
AURANGABAD,0,0,67.9,43.3,7.7,0
BEED,0,1.2,69.6,31.2,8.9,5
BHANDARA,0,5.6,36.7,86.7,20.5,10.1
BULDHANA,0,0.9,61.8,54.8,6.2,1.2
CHANDRAPUR,0,1.1,61.3,59.8,41.3,23.5
DHULE,0,1,26.4,11,4,0
GADCHIROLI,0,0,40.6,35.4,26.4,15.4
GONDIA,0,12.3,31,70,46.3,6.3
HINGOLI,0,2.7,80.2,35.8,0,0
JALGAON,0,1.2,34.8,48.3,3.6,0
JALNA,0,0,62.8,41,6.5,0
KOLHAPUR,0,1.9,2.8,33.7,6.3,0
LATUR,0,4.6,74.8,20.1,19.5,10.7
MUMBAI CITY,0,0,0,13.6,0,0
MUMBAI SUBURBAN,0,0,0,13,10,0
NAGPUR,0,8.4,38.4,69.1,14.5,1.2
NANDED,0,0,96.4,36,10.8,6.2
NANDURBAR,0,0,3,2.5,1.9,0
NASHIK,0,0.7,22.2,37.8,15.3,0
OSMANABAD,0,10.6,47.6,20.6,11.9,12.4
PARBHANI,0,4.9,144.5,21.6,11,1.9
PUNE,0,0.9,36.9,50.2,4.4,0
RAIGAD,0,0,0.3,54.2,3.1,0
RATNAGIRI,0,0,0,31.7,0.1,0
SANGLI,0,0,5.7,31.9,12.1,0
SATARA,0,0.3,9.6,27.1,9.1,0
SHOLAPUR,0,1.5,35.5,16.1,5.5,3.4
SINDHUDURG,0,0,0,45.9,0,0
THANE,0,0,0.7,21.9,5.6,0
WARDHA,0,5.8,41.3,69,21.5,0.3
WASHIM,0,3.6,97.9,81.6,20.6,1.3
YEOTMAL,0,2,70.4,59,18.2,0
