,2012,2013,2014,2015,2016,2017
AHMEDNAGAR,10.3,0,14.6,6.6,3.6,8.9
AKOLA ,3.7,0,3.6,1.9,6.2,0
AMRAOTI,12,2,0.1,2.7,14.5,3.2
AURANGABAD,16.3,2.5,7.4,5.1,4.6,1.3
BEED,0,2.2,5.6,5.8,6.8,2.9
BHANDARA,0,0,14.1,14.8,25.7,13.6
BULDHANA,0,0,0.2,7.8,8.2,0
CHANDRAPUR,0,1.9,9.7,34.2,24.5,15.5
DHULE,0,0,0,2,2.4,0
GADCHIROLI,0,0,0.6,18.8,5.1,4.8
GONDIA,0,0,2.9,17.4,20,18.2
HINGOLI,0,0,0,9.5,2.5,2.8
JALGAON,11.7,0,0.7,7.2,1.8,13
JALNA,0,0,0.9,2,2.5,2.8
KOLHAPUR,12.3,36.3,17.2,55.9,4.9,60.1
LATUR,0,2.6,6.7,18.7,9,4.7
MUMBAI CITY,0,0,0,2.4,3.7,0
MUMBAI SUBURBAN,0,0,0,0,0,3.5
NAGPUR,1.8,0,11.9,14,8.2,16.4
NANDED,0,20,6.4,29.4,10.1,5.9
NANDURBAR,0,0,0.2,0.2,0.4,0
NASHIK,17.7,0.4,70.7,0,14.3,12.9
OSMANABAD,17.2,10.9,18.9,16.2,10.8,5.2
PARBHANI,1.5,8.4,8.2,8.5,1.4,0
PUNE,2.5,0.8,21.8,29.3,13.9,24.6
RAIGAD,0,0.3,6.5,11.5,1.5,22.2
RATNAGIRI,0.7,12.1,6.5,6.7,1.2,93.6
SANGLI,5.7,15.1,38.8,55.6,12.3,25.5
SATARA,4.7,8.4,57.1,56.9,7.6,38.7
SHOLAPUR,28.7,11.3,44.6,21.8,8.3,6.3
SINDHUDURG,0,47.3,75.9,26.3,2.8,84.7
THANE,0,12.5,0.5,0,0,1.3
WARDHA,2,0,4,7.1,11.4,8.1
WASHIM,7,0,4.8,0.7,11.1,0
YEOTMAL,0,0,0.8,9.8,10.5,4.4
