,2012,2013,2014,2015,2016,2017
AHMEDNAGAR,0.7,0,63.1,27.1,0,0.4
AKOLA ,0,0.1,15.3,0,0,0
AMRAOTI,0.4,0,11.5,0,0,2.3
AURANGABAD,0.1,10.4,47.4,2.6,0,0.4
BEED,0.9,3,2.9,18.6,0,0
BHANDARA,25.5,0,0,0,0,0
BULDHANA,0,0,27.8,0,0,0.4
CHANDRAPUR,18.4,0,1,0,0,0
DHULE,0,0,22.5,0.5,0,0
GADCHIROLI,9.1,0,0,0,0,0
GONDIA,9.3,0,0,0,0,0
HINGOLI,0,0,0,0,115.3,0
JALGAON,0,0,9.5,1.9,0,5.6
JALNA,0,6.8,2.5,1.6,0,0
KOLHAPUR,17.5,0.6,23.3,3.4,4.9,5.4
LATUR,12.9,3.6,21.7,3.3,0,0
MUMBAI CITY,0,6.4,4.2,1.5,0,0
MUMBAI SUBURBAN,0,0,5.8,1.6,0,0
NAGPUR,18.3,0,7.5,0.2,0,0
NANDED,6.5,13.9,8,0,0,0
NANDURBAR,0,0,8.1,1,0,0
NASHIK,0,1.7,39.2,24.3,0,2
OSMANABAD,6.4,4.7,47.4,6.7,0,20
PARBHANI,1.1,7.7,25,0,0,0
PUNE,1.1,13.6,22.7,45.3,0,13.9
RAIGAD,0,3,9.2,16.7,0,0.4
RATNAGIRI,0,0.3,12.9,13.3,0,2.1
SANGLI,9.4,10,26.9,5.7,5.5,7
SATARA,1.4,3.9,44.7,15,0,10.6
SHOLAPUR,4.6,5.6,35.4,4.3,3.1,2.4
SINDHUDURG,0,6.4,9.9,41.2,4.9,0
THANE,0,0.1,2.8,47.7,0,0
WARDHA,8.1,0,3.8,0,0,0
WASHIM,0.4,0,0.3,0,0,0
YEOTMAL,5.7,0.2,0,0,0,0
