DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,YEAR_OBS,TOTAL_RAINFALL,RAINFALL,GRDWTR,SOIL_TYPE,Soil_Score,Elevation,Region_Score,Indexing1,catchment1,Indexing2,catchment2
Ahmadnagar,Ahmednagar,Akola,19.525,73.925,Rajur,1999,825.431,19,1.6575,Black,5,649,,339.4725,0,3641.1965,0
Ahmadnagar,Bhingar,Jamkhed,18.73333333,75.31666667,Jamkhed,1999,825.431,17,3.875,Black,5,650,,346.625,0,3648.349,0
Ahmadnagar,Bhingar,Jamkhed,18.59444444,75.3125,Nanaj-2,1999,825.431,19,2.125,Black,5,650,,341.375,0,3643.099,0
Ahmadnagar,Deolali Pravara,Karjat,18.64444444,74.89666667,Bhitkewadi,1999,825.431,10,6.35,Black,5,515,,286.55,0,3588.274,0
Ahmadnagar,Deolali Pravara,Karjat,18.51666667,74.98333333,Kolwadi,1999,825.431,19,3.7625,Black,5,515,,278.7875,0,3580.5115,0
Ahmadnagar,Deolali Pravara,Karjat,18.71666667,75.03333333,Mirajgaon2,1999,825.431,10,1.55,Black,5,515,,272.15,0,3573.874,0
Ahmadnagar,Deolali Pravara,Karjat,18.63333333,75.1,Pategaon,1999,825.431,20,2.58,Black,5,515,,275.24,0,3576.964,0
Ahmadnagar,Deolali Pravara,Karjat,18.43333333,74.93333333,Rassin,1999,825.431,15,7.205,Black,5,515,,289.115,0,3590.839,0
Ahmadnagar,Deolali Pravara,Karjat,18.63333333,74.88333333,Walvad,1999,825.431,20,3.0425,Black,5,515,,276.6275,0,3578.3515,0
Ahmadnagar,Ghulewadi,Kopargaon,19.89444444,74.35694444,Kolpewadi,1999,825.431,10,1.7,Black,5,509,,269.6,0,3571.324,0
Ahmadnagar,Ghulewadi,Kopargaon,19.95,74.28333333,Manjur,1999,825.431,17,6.575,Black,5,509,,284.225,0,3585.949,0
Ahmadnagar,Ghulewadi,Rahata,19.71666667,74.48333333,Rahata,1999,825.431,12,7.9375,Black,5,509,,288.3125,0,3590.0365,0
Ahmadnagar,Jamkhed,Nagar,19.025,74.71805556,Arangaon-2,1999,825.431,15,2.0375,Black,5,596,,314.1125,0,3615.8365,0
Ahmadnagar,Jamkhed,Nagar,19,74.63333333,Chas,1999,825.431,15,4.82,Black,5,596,,322.46,0,3624.184,0
Ahmadnagar,Jamkhed,Nagar,19.00138889,74.91666667,Chinchandi Patil,1999,825.431,10,2.775,Black,5,596,,316.325,0,3618.049,0
Ahmadnagar,Jamkhed,Nagar,18.9625,74.80694444,Dahigaon,1999,825.431,11,2.8075,Black,5,596,,316.4225,0,3618.1465,0
Ahmadnagar,Jamkhed,Nagar,19.23333333,74.66666667,Dehre,1999,825.431,11,2.475,Black,5,596,,315.425,0,3617.149,0
Ahmadnagar,Jamkhed,Nagar,19.10555556,74.63055556,Jakhangaon,1999,825.431,16,6.6,Black,5,596,,327.8,0,3629.524,0
Ahmadnagar,Jamkhed,Nagar,19.2125,74.80555556,Jeur,1999,825.431,17,5.53,Black,5,596,,324.59,0,3626.314,0
Ahmadnagar,Jamkhed,Nagar,19.13472222,74.92638889,Karanji-2,1999,825.431,15,0.275,Black,5,596,,308.825,0,3610.549,0
Ahmadnagar,Jamkhed,Nagar,19.125,74.725,Savedi-1,1999,825.431,15,2.625,Black,5,596,,315.875,0,3617.599,0
Ahmadnagar,Jamkhed,Nagar,19.03333333,74.83333333,Takle-Kazi,1999,825.431,16,8.2825,Black,5,596,,332.8475,0,3634.5715,0
Ahmadnagar,Kopargaon,Nevasa,19.34722222,74.88194444,Ghodegaon,1999,825.431,20,3.325,Black,5,515,,277.475,0,3579.199,0
Ahmadnagar,Kopargaon,Nevasa,19.55416667,74.98194444,Khadka,1999,825.431,19,1.6625,Black,5,515,,272.4875,0,3574.2115,0
Ahmadnagar,Kopargaon,Nevasa,19.43333333,75.06666667,Kokona,1999,825.431,15,5.225,Black,5,515,,283.175,0,3584.899,0
