DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,YEAR_OBS,TOTAL_RAINFALL,RAINFALL,GRDWTR,SOIL_TYPE,Soil_Score,Elevation,Region_Score,Indexing1,catchment1,Indexing2,catchment2
Ahmadnagar,Ahmednagar,Akola,19.5375,73.99,Malijhap,1996,965.08,15,4.0125,Black,5,649,1,402.5375,0,4206.8575,0
Ahmadnagar,Ahmednagar,Akola,19.525,73.925,Rajur,1996,965.08,14,3.23,Black,5,649,1,440.19,1,4204.51,0
Ahmadnagar,Bhingar,Jamkhed,18.73333333,75.31666667,Jamkhed,1996,965.08,24,4.6125,Black,5,650,1,404.8375,0,4209.1575,0
Ahmadnagar,Bhingar,Jamkhed,18.58333333,75.25,Nanaj-1,1996,965.08,14,2.325,Black,5,650,1,417.975,1,4202.295,0
Ahmadnagar,Deolali Pravara,Karjat,18.64444444,74.89666667,Bhitkewadi,1996,965.08,19,5.01,Black,5,515,1,370.53,0,4142.85,0
Ahmadnagar,Deolali Pravara,Karjat,18.51666667,74.98333333,Kolwadi,1996,965.08,22,8.925,Black,5,515,1,378.275,0,4154.595,0
Ahmadnagar,Deolali Pravara,Karjat,18.63333333,75.1,Pategaon,1996,965.08,21,1.85,Black,5,515,1,353.05,0,4133.37,0
Ahmadnagar,Deolali Pravara,Karjat,18.43333333,74.93333333,Rassin,1996,965.08,20,5.7375,Black,5,515,1,352.7125,0,4145.0325,0
Ahmadnagar,Deolali Pravara,Karjat,18.63333333,74.88333333,Walvad,1996,965.08,17,2.125,Black,5,515,1,345.875,0,4134.195,0
Ahmadnagar,Ghulewadi,Kopargaon,19.89444444,74.35694444,Kolpewadi,1996,965.08,18,2.505,Black,5,509,1,336.015,0,4132.335,0
Ahmadnagar,Ghulewadi,Kopargaon,19.88333333,74.475,Kopergaon-2,1996,965.08,16,2.175,Black,5,509,1,355.025,0,4131.345,0
Ahmadnagar,Ghulewadi,Kopargaon,19.95,74.28333333,Manjur,1996,965.08,21,9.76,Black,5,509,1,353.78,0,4154.1,0
Ahmadnagar,Ghulewadi,Rahata,19.71666667,74.48333333,Rahata,1996,965.08,15,8.0225,Black,5,509,1,344.5675,0,4148.8875,0
Ahmadnagar,Jamkhed,Nagar,19,74.63333333,Chas,1996,965.08,14,2.125,Black,5,596,1,390.375,0,4174.695,0
Ahmadnagar,Jamkhed,Nagar,19.00138889,74.91666667,Chinchandi Patil,1996,965.08,19,2.6575,Black,5,596,1,399.9725,0,4176.2925,0
Ahmadnagar,Jamkhed,Nagar,18.9625,74.80694444,Dahigaon,1996,965.08,21,3.45,Black,5,596,1,410.35,0,4178.67,0
Ahmadnagar,Jamkhed,Nagar,19.23333333,74.66666667,Dehre,1996,965.08,23,1.025,Black,5,596,1,367.075,0,4171.395,0
Ahmadnagar,Jamkhed,Nagar,19.10555556,74.63055556,Jakhangaon,1996,965.08,14,9.73,Black,5,596,1,405.19,0,4197.51,0
Ahmadnagar,Jamkhed,Nagar,19.2125,74.80555556,Jeur,1996,965.08,17,7.715,Black,5,596,1,399.145,0,4191.465,0
Ahmadnagar,Jamkhed,Nagar,19.03333333,74.83333333,Takle-Kazi,1996,965.08,17,5.9375,Black,5,596,1,413.8125,0,4186.1325,0
Ahmadnagar,Kopargaon,Nevasa,19.34722222,74.88194444,Ghodegaon,1996,965.08,22,3.105,Black,5,515,1,348.815,0,4137.135,0
Ahmadnagar,Kopargaon,Nevasa,19.53194444,74.85416667,Gonegaon,1996,965.08,18,10.15,Black,5,515,1,369.95,0,4158.27,0
Ahmadnagar,Kopargaon,Nevasa,19.55416667,74.98194444,Khadka,1996,965.08,18,4.2275,Black,5,515,1,372.1825,0,4140.5025,0
Ahmadnagar,Kopargaon,Nevasa,19.43333333,75.06666667,Kokona,1996,965.08,23,7.125,Black,5,515,1,364.875,0,4149.195,0
Ahmadnagar,Kopargaon,Nevasa,19.55,75.1125,Shirasgaon,1996,965.08,19,7.445,Black,5,515,1,369.835,0,4150.155,0
Ahmadnagar,Kopargaon,Nevasa,19.39583333,74.82083333,Sonai,1996,965.08,20,2.6525,Black,5,515,1,331.4575,0,4135.7775,0
Ahmadnagar,Kopargaon,Nevasa,19.43333333,74.9,Vadala Bhairoba,1996,965.08,14,6.6075,Black,5,515,1,351.3225,0,4147.6425,0
Ahmadnagar,Nagapur,Parner,18.95972222,74.53888889,Supe,1996,965.08,16,2.3375,Black,5,469,1,335.5125,0,4111.8325,0
Ahmadnagar,Nagardeole,Pathardi,19.13333333,74.99444444,Karanji-1,1996,965.08,21,0.425,Black,5,650,1,416.275,1,4196.595,0
Ahmadnagar,Nagardeole,Pathardi,19.16666667,75.18638889,Pathardi,1996,965.08,20,3.5125,Black,5,650,1,425.5375,1,4205.8575,0
Ahmadnagar,Pathardi,Rahuri,19.28888889,74.7375,Bambori,1996,965.08,20,6.245,Black,5,550,1,391.735,0,4164.055,0
Ahmadnagar,Pathardi,Rahuri,19.475,74.62083333,Devlali,1996,965.08,22,4.2675,Black,5,550,1,365.8025,0,4158.1225,0
Ahmadnagar,Pathardi,Rahuri,19.38333333,74.58194444,Malharwadi-1,1996,965.08,17,3.585,Black,5,550,1,379.755,0,4156.075,0
Ahmadnagar,Pathardi,Rahuri,19.38888889,74.65833333,Rahuri,1996,965.08,21,9.87,Black,5,550,1,398.61,0,4174.93,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.35,74.175,Ambi Khalsa-2,1996,965.08,21,12.4225,Black,5,509,1,373.7675,0,4162.0875,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.27777778,74.22777778,Bote,1996,965.08,18,5.4025,Black,5,509,1,368.7075,0,4141.0275,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.48333333,74.2,Chandanapuri,1996,965.08,22,19.6475,Black,5,509,1,387.4425,0,4183.7625,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.59166667,74.3,Kokangaon,1996,965.08,16,9.78,Black,5,509,1,385.84,0,4154.16,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.56666667,74.22083333,Sangamner,1996,965.08,23,5.0125,Black,5,509,1,367.5375,0,4139.8575,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.51666667,74.25277778,Tambhol,1996,965.08,22,7.6575,Black,5,509,1,379.4725,0,4147.7925,0
Ahmadnagar,Rahuri,Shevgaon,19.4,75.3,Ghotan,1996,965.08,23,5.6925,Black,5,526,1,346.0775,0,4150.3975,0
Ahmadnagar,Rahuri,Shevgaon,19.35555556,75.31666667,Rakshi,1996,965.08,14,2.1425,Black,5,526,1,339.4275,0,4139.7475,0
Ahmadnagar,Sangamner,Shrigonda,18.83333333,74.86666667,Banpimpri,1996,965.08,15,4.3175,Black,5,571,1,384.4525,0,4168.7725,0
Ahmadnagar,Sangamner,Shrigonda,18.86666667,74.71666667,Chikhale,1996,965.08,19,1.94,Black,5,571,1,361.32,0,4161.64,0
Ahmadnagar,Sangamner,Shrigonda,18.84305556,74.88055556,Ghogargaon (P1),1996,965.08,15,2.275,Black,5,571,1,366.325,0,4162.645,0
Ahmadnagar,Sangamner,Shrigonda,18.61666667,74.71666667,Shrigonda,1996,965.08,16,12.0975,Black,5,571,1,427.7925,1,4192.1125,0
Ahmadnagar,Shirdi,Rahata,19.6,74.50833333,Babhuleshwar,1996,965.08,24,3.7425,Black,5,504,1,353.2275,0,4133.5475,0
Ahmadnagar,Shirdi,Rahata,19.62083333,74.5875,Nandur,1996,965.08,20,1.4725,Black,5,504,1,362.4175,0,4126.7375,0
Ahmadnagar,Shirdi,Shrirampur,19.62916667,74.65833333,Srirampur,1996,965.08,24,1.95,Black,5,504,1,355.85,0,4128.17,0
Ahmadnagar,Shirdi,Shrirampur,19.6,74.8,Takli-bhan,1996,965.08,22,2.5125,Black,5,504,1,393.5375,0,4129.8575,0
Akola,Akot,Akola,20.73666667,77.00722222,Akola,1996,965.08,31,11.2575,Black,5,306,3,348.7725,0,4057.0925,0
Akola,Akot,Akola,20.73333333,77.12777778,Borgaon Manju,1996,965.08,38,2.995,Black,5,306,3,311.985,0,4032.305,0
Akola,Akot,Akola,20.58333333,76.96666667,Kapsi,1996,965.08,35,5.9575,Black,5,306,3,336.8725,0,4041.1925,0
Akola,Akot,Akola,20.71666667,77.26666667,Kurankhed,1996,965.08,39,9.0275,Black,5,306,3,346.0825,0,4050.4025,0
Akola,Akot,Akola,20.7,77.01944444,Shivani,1996,965.08,39,2.615,Black,5,306,3,326.845,0,4031.165,0
Akola,Akot,Akola,20.83916667,77,Vallabhnagar_Akot,1996,965.08,39,17.6775,Black,5,306,3,356.0325,0,4076.3525,0
Akola,Balapur,Akot,21.11666667,77.05,Akot,1996,965.08,35,3.65,Black,5,261,3,275.45,0,4011.77,0
Akola,Balapur,Akot,20.98611111,77.02083333,Patsul,1996,965.08,31,8.39,Black,5,261,3,309.67,0,4025.99,0
Akola,Balapur,Akot,21.20833333,77.07916667,Popet Kheda,1996,965.08,36,4.28,Black,5,261,3,281.34,0,4013.66,0
Akola,Balapur,Akot,21.13333333,77,Umra,1996,965.08,32,7.7275,Black,5,261,3,303.6825,0,4024.0025,0
Akola,Malkapur,Barshitakli,20.58333333,77.06666667,Barshi Takli,1996,965.08,35,14.7125,Black,5,251,3,307.6375,0,4039.9575,0
