,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AHMEDNAGAR,0,0.1,5.5,0,3.6,88.6,158.8,79.2,209,97.6,0,0
AKOLA ,0,0.1,1,0,6.2,151,393.5,112.8,120,68.2,0,0
AMRAOTI,0.2,6.7,6.6,0,14.5,127.6,478.4,133.6,191,64.8,0,0
AURANGABAD,0,0,7.7,0,4.6,100.7,236.2,92.2,154.8,58.9,0,0
BEED,0,6.7,8.9,2.1,6.8,155.8,172.6,72,377.7,103.6,0,0
BHANDARA,0,5.9,20.5,3.3,25.7,81.7,428.9,172.6,206.4,77.4,0,0
BULDHANA,0,2.3,6.2,0,8.2,120.3,366.2,100.4,148.2,49.8,0,0
CHANDRAPUR,0.3,1.7,41.3,17.6,24.5,229.2,624.9,145.7,375.5,96.7,0,0
DHULE,0,0,4,0,2.4,91,124,93.7,110.9,73.1,0,0
GADCHIROLI,3.4,1,26.4,11.9,5.1,218.2,711.2,303.5,386.9,109.5,0,0
GONDIA,0.2,3.2,46.3,7.3,20,118.1,459.4,342.4,325.8,60.9,0,0
HINGOLI,0,0,0,13.6,2.5,1.8,171.5,321.8,80.8,226.5,115.3,0
JALGAON,0,0,3.6,0.1,1.8,58.3,273.2,121.4,183.4,63.3,0,0
JALNA,0,0,6.5,0.2,2.5,126.3,310,91.5,247.2,80.7,0,0
KOLHAPUR,0,0,6.3,4.5,4.9,214,748.1,522.9,125.9,36.2,4.9,0
LATUR,0,9.8,19.5,10.9,9,156.7,333.3,93.6,427.5,141.1,0,0
MUMBAI CITY,0,0,0,0,3.7,531.3,753.9,488.4,733.4,67.4,0,0
MUMBAI SUBURBAN,0,0,10,0,0,695.2,926,561.7,711.6,78.7,0,0
NAGPUR,0.7,17.1,14.5,3.6,8.2,132.3,418.3,117.5,127.5,68.3,0,0
NANDED,0,0,10.8,3.2,10.1,255.7,377.1,118.4,273.4,115.6,0,0
NANDURBAR,0,0,1.9,0,0.4,51.3,258.4,224.8,162.6,60.4,0,
NASHIK,0,0,15.3,0,14.3,63.9,490.3,409.6,167.3,64.7,0,0
OSMANABAD,0,5.9,11.9,5.6,10.8,124.1,197.9,69.8,356.2,115.1,0,1
PARBHANI,0,0.3,11,1.1,1.4,153.9,298.9,86.4,377.3,89,0,0
PUNE,0,0.2,4.4,0.5,13.9,77.8,445.8,417.6,197.1,57.6,0,0
RAIGAD,0,0,3.1,0,1.5,692.7,1386.1,1018.5,788,117.9,0,0
RATNAGIRI,0,0.4,0.1,1,1.2,997.9,1693.4,902.1,793.1,145.6,0,0
SANGLI,0,3.3,12.1,3.3,12.3,119.9,246.9,109.7,114.6,11,5.5,0
SATARA,0,3.6,9.1,1.1,7.6,166.9,341.5,346.3,138.4,55.5,0,2.3
SHOLAPUR,0,0.7,5.5,5.4,8.3,118.9,153.7,29.1,212.2,67.4,3.1,4.7
SINDHUDURG,0,0,0,0,2.8,1137.7,1263.6,616.8,426.2,113.9,4.9,0
THANE,0,4.7,5.6,0,0,346.9,1146,704,445.9,58.5,0,0
WARDHA,0.7,11,21.5,0.6,11.4,175.9,485.3,148.3,155.8,61.4,0,0
WASHIM,0,4.6,20.6,0,11.1,157.5,371.8,113.7,156.2,68.1,0,0
YEOTMAL,0,4.7,18.2,2.6,10.5,194.2,410.3,97.7,170.8,68.3,0,0
